Rank,RO,ST,Locid,City,Airport Name,S/L,Hub,CY08 Enplanements,CY07 Enplanements,% Change
235.0,AL,AK,ADQ,Kodiak,Kodiak,P,N,82057.0,81713.0,0.0042
236.0,SW,TX,CLL,College Station,Easterwood Field,P,N,80948.0,90895.0,-0.1094
237.0,SO,SC,HXD,Hilton Head Island,Hilton Head,P,N,79912.0,84790.0,-0.0575
238.0,SW,OK,LAW,Lawton,Lawton-Fort Sill Regional,P,N,77533.0,54728.0,0.4167
239.0,SW,TX,TYR,Tyler,Tyler Pounds Regional,P,N,76168.0,78482.0,-0.0295
240.0,NM,WY,CPR,Casper,Casper/Natrona County International,P,N,74167.0,76566.0,-0.0313
241.0,GL,ND,MOT,Minot,Minot International,P,N,71595.0,70960.0,0.0089
242.0,NM,WA,YKM,Yakima,Yakima Air Terminal/McAllister Field,P,N,69835.0,72016.0,-0.0303
245.0,SW,TX,ACT,Waco,Waco Regional,P,N,68381.0,76410.0,-0.1051
246.0,AL,AK,SIT,Sitka,Sitka Rocky Gutierrez,P,N,68197.0,74518.0,-0.0848
247.0,WP,NV,VGT,Las Vegas,North Las Vegas,P,N,67389.0,85900.0,-0.2155
248.0,AL,AK,OTZ,Kotzebue,Ralph Wien Memorial,P,N,66322.0,64717.0,0.0248
249.0,WP,AZ,1G4,Peach Springs,Grand Canyon West,P,N,65351.0,25947.0,1.5186
250.0,SW,TX,SJT,San Angelo,San Angelo Regional/Mathis Field,P,N,64865.0,71008.0,-0.0865
251.0,SO,SC,FLO,Florence,Florence Regional,P,N,64835.0,46452.0,0.3957
252.0,NM,ID,LWS,Lewiston,Lewiston-Nez Perce County,P,N,64379.0,69726.0,-0.0767
253.0,NM,ID,SUN,Hailey,Friedman Memorial,P,N,64233.0,67469.0,-0.048
254.0,WP,CA,RDD,Redding,Redding Municipal,P,N,63331.0,64284.0,-0.0148
255.0,AL,AK,OME,Nome,Nome,P,N,59984.0,62915.0,-0.0466
257.0,EA,MD,SBY,Salisbury,Salisbury-Ocean City Wicomico Regional,P,N,58863.0,60521.0,-0.0274
258.0,GL,IL,SPI,Springfield,Abraham Lincoln Capital,P,N,56771.0,62138.0,-0.0864
259.0,GL,MI,SAW,Gwinn,Sawyer International,P,N,56172.0,67999.0,-0.1739
260.0,EA,VA,LYH,Timberlake,Lynchburg Regional/Preston Glenn Field,P,N,55307.0,55785.0,-0.0086
261.0,WP,CA,SMX,Santa Maria,Santa Maria Public/Capt G Allan Hancock Field,P,N,54925.0,54042.0,0.0163
262.0,SO,FL,PGD,Punta Gorda,Charlotte County,P,N,53073.0,7031.0,6.5484
264.0,SO,NC,PGV,Greenville,Pitt-Greenville,P,N,52287.0,47116.0,0.1098
265.0,WP,HI,LNY,Lanai City,Lanai,P,N,52075.0,61649.0,-0.1553
266.0,WP,AZ,FLG,Flagstaff,Flagstaff Pulliam,P,N,51765.0,44238.0,0.1701
267.0,SO,GA,CSG,Columbus,Columbus Metropolitan,P,N,51288.0,46972.0,0.0919
268.0,SW,LA,LCH,Lake Charles,Lake Charles Regional,P,N,50984.0,56134.0,-0.0917
269.0,NE,NH,PSM,Portsmouth,Portsmouth International at Pease,P,N,49962.0,58057.0,-0.1394
270.0,CE,IA,SUX,Sioux City,Sioux Gateway/Col. Bud Day Field,P,N,49871.0,43518.0,0.146
271.0,NM,WA,EAT,East Wenatchee,Pangborn Memorial,P,N,48275.0,46576.0,0.0365
272.0,SO,AL,DHN,Dothan,Dothan Regional,P,N,47859.0,48019.0,-0.0033
273.0,SW,TX,SPS,Wichita Falls,Sheppard AFB/Wichita Falls Municipal,P,N,47191.0,45948.0,0.0271
274.0,NM,UT,SGU,St. George,St George Municipal,P,N,46586.0,53773.0,-0.1337
275.0,NM,UT,ENV,Wendover,Wendover,P,N,46264.0,46883.0,-0.0132
276.0,EA,NY,PBG,Plattsburgh,Plattsburgh International,P,N,45998.0,2772.0,15.5938
277.0,NE,MA,MVY,Vineyard Haven,Marthas Vineyard,P,N,45002.0,49205.0,-0.0854
278.0,AL,AK,HOM,Homer,Homer,P,N,44288.0,44114.0,0.0039
279.0,WP,AS,PPG,Pago Pago,Pago Pago International,P,N,42929.0,44709.0,-0.0398
280.0,CE,IA,DBQ,Dubuque,Dubuque Regional,P,N,42870.0,45878.0,-0.0656
281.0,AL,AK,AKN,King Salmon,King Salmon,P,N,42310.0,42253.0,0.0013
282.0,AL,AK,BRW,Barrow,Wiley Post-Will Rogers Memorial,P,N,40674.0,39009.0,0.0427
283.0,SO,GA,ABY,Albany,Southwest Georgia Regional,P,N,39200.0,38758.0,0.0114
285.0,SO,GA,VLD,Valdosta,Valdosta Regional,P,N,38269.0,35094.0,0.0905
287.0,WP,CA,MOD,Modesto,Modesto City County-Harry Sham Field,P,N,37082.0,48449.0,-0.2346
288.0,WP,CA,SCK,Stockton,Stockton Metropolitan,P,N,36935.0,28996.0,0.2738
290.0,NM,CO,GUC,Gunnison,Gunnison-Crested Butte Regional,P,N,36035.0,42622.0,-0.1545
291.0,SO,MS,GTR,Columbus,Golden Triangle Regional,P,N,35669.0,27521.0,0.2961
292.0,NM,OR,OTH,North Bend,Southwest Oregon Regional,P,N,35458.0,38024.0,-0.0675
293.0,WP,CA,CRQ,Carlsbad,McClellan-Palomar,P,N,35033.0,46924.0,-0.2534
295.0,SW,NM,ROW,Roswell,Roswell International Air Center,P,N,34712.0,15112.0,1.297
296.0,NM,WA,BFI,Seattle,Boeing Field/King County International,P,N,34597.0,34580.0,0.0005
297.0,NE,CT,HVN,New Haven,Tweed-New Haven,P,N,33988.0,37637.0,-0.097
299.0,WP,AZ,PGA,Page,Page Municipal,P,N,33118.0,17405.0,0.9028
300.0,AL,AK,DLG,Dillingham,Dillingham,P,N,32215.0,42617.0,-0.2441
301.0,NM,WA,PUW,Pullman,Pullman/Moscow Regional,P,N,32108.0,24856.0,0.2918
303.0,NM,CO,FNL,Fort Collins/Loveland,Fort Collins-Loveland Municipal,P,N,31094.0,28315.0,0.0981
304.0,NM,MT,BTM,Butte,Bert Mooney,P,N,30431.0,36844.0,-0.1741
305.0,GL,MI,MKG,Muskegon,Muskegon County,P,N,30051.0,34268.0,-0.1231
306.0,SW,AR,TXK,Texarkana,Texarkana Regional-Webb Field,P,N,29820.0,35653.0,-0.1636
307.0,NM,WA,ALW,Walla Walla,Walla Walla Regional,P,N,29672.0,28711.0,0.0335
308.0,NM,ID,TWF,Twin Falls,Joslin Field - Magic Valley Regional,P,N,29606.0,33523.0,-0.1168
309.0,SO,GA,BQK,Brunswick,Brunswick Golden Isles,P,N,29594.0,24153.0,0.2253
310.0,AL,AK,DUT,Unalaska,Unalaska,P,N,28234.0,30581.0,-0.0767
311.0,NM,WY,GCC,Gillette,Gillette-Campbell County,P,N,28232.0,26410.0,0.069
312.0,SW,TX,BPT,Beaumont/Port Arthur,Southeast Texas Regional,P,N,28086.0,34806.0,-0.1931
313.0,WP,MP,GRO,Rota Island,Rota International,P,N,27776.0,28856.0,-0.0374
314.0,GL,IL,BLV,Belleville,Scott AFB/Midamerica,P,N,27002.0,29019.0,-0.0695
315.0,NM,OR,LMT,Klamath Falls,Klamath Falls,P,N,26970.0,28822.0,-0.0643
