ST,RO,Locid,Airport Name,City,Svc Lvl,Hub,CY 2003 Enplanements
OH,GL,VTA,Newark-Heath,Newark,GA,None,3.0
OH,GL,I17,Piqua - Hartzell Field,Piqua,GA,None,3.0
OH,GL,AKR,Akron Fulton Int'l,Akron,GA,None,2.0
OH,GL,4G3,Miller,Alliance,GA,None,2.0
OH,GL,MNN,Marion Municipal,Marion,GA,None,2.0
OH,GL,I69,Clermont County,Batavia,GA,None,1.0
OH,GL,DFI,Defiance Memorial,Defiance,GA,None,1.0
OH,GL,1G5,Medina Municipal,Medina,GA,None,1.0
OH,GL,3W2,Put-in-Bay,Put-in-Bay,GA,None,0.0
OH Total,,,,,,,10278474.0
OK,SW,OKC,Will Rogers World,Oklahoma City,P,S,1615264.0
OK,SW,TUL,Tulsa Int'l,Tulsa,P,S,1363682.0
OK,SW,LAW,Lawton-Fort Sill Regional,Lawton,P,N,44673.0
OK,SW,WDG,Enid Woodring Regional,Enid,GA,None,1816.0
OK,SW,PNC,Ponca City Regional,Ponca City,GA,None,1743.0
OK,SW,SWO,Stillwater Regional,Stillwater,GA,None,636.0
OK,SW,END,Vance AFB,Enid,GA,None,219.0
OK,SW,PWA,Wiley Post,Oklahoma City,GA,None,217.0
OK,SW,GUY,Guymon Municipal,Guymon,GA,None,195.0
OK,SW,TIK,Tinker AFB,Oklahoma City,GA,None,65.0
OK,SW,OUN,University of Oklahoma Westheimer,Norman,GA,None,32.0
OK,SW,RVS,Richard Lloyd Jones Jr,Tulsa,GA,None,9.0
OK,SW,CSM,Clinton-Sherman,Clinton,GA,None,7.0
OK,SW,DUA,Eaker Field,Durant,GA,None,5.0
OK,SW,HHW,Stan Stamper Municipal,Hugo,GA,None,5.0
OK,SW,1F4,Madill Municipal,Madill,GA,None,4.0
OK,SW,4O3,Blackwell-Tonkawa Municipal,Blackwell,GA,None,3.0
OK,SW,FDR,Frederick Municipal,Frederick,GA,None,3.0
OK,SW,MKO,Davis Field,Muskogee,GA,None,3.0
OK,SW,LTS,Altus AFB,Altus,GA,None,2.0
OK,SW,AXS,Altus/Quartz Mountain Regional,Altus,GA,None,2.0
OK,SW,BVO,Bartlesville Municipal,Bartlesville,GA,None,2.0
OK,SW,CLK,Clinton Municipal,Clinton,GA,None,2.0
OK,SW,F28,El Reno Municipal Air Park,El Reno,GA,None,2.0
OK,SW,GMJ,Grove Municipal,Grove,GA,None,2.0
OK,SW,H71,Mid-America Industrial,Pryor,GA,None,2.0
OK,SW,1K5,Waynoka Municipal,Waynoka,GA,None,2.0
OK,SW,WWR,West Woodward,Woodward,GA,None,2.0
OK,SW,AVK,Alva Regional,Alva,GA,None,1.0
OK,SW,MIO,Miami Municipal,Miami,GA,None,1.0
OK,SW,RKR,Robert S Kerr,Poteau,GA,None,1.0
OK,SW,6F1,Talihina Municipal,Talihina,GA,None,1.0
OK Total,,,,,,,3028603.0
OR,NM,PDX,Portland Int'l,Portland,P,M,6059860.0
OR,NM,EUG,Mahlon Sweet Field,Eugene,P,N,300092.0
OR,NM,MFR,Rogue Valley Int'l - Medford,Medford,P,N,233806.0
OR,NM,RDM,Roberts Field,Redmond,P,N,139410.0
OR,NM,OTH,North Bend Municipal,North Bend,P,N,30835.0
OR,NM,LMT,Klamath Falls,Klamath Falls,P,N,28375.0
OR,NM,UAO,Aurora State,Aurora,GA,None,9667.0
OR,NM,PDT,Eastern Oregon Regional at Pendleton,Pendleton,CS,None,8896.0
OR,NM,AST,Astoria Regional,Astoria,GA,None,436.0
OR,NM,SLE,McNary Field,Salem,GA,None,150.0
OR,NM,48OR,Lookingglass,Roseburg,GA,None,86.0
OR,NM,S33,City-County,Madras,GA,None,71.0
OR,NM,HIO,Portland-Hillsboro,Portland,GA,None,30.0
OR,NM,M50,Boardman,Boardman,GA,None,28.0
OR,NM,CVO,Corvallis Municipal,Corvallis,GA,None,25.0
OR,NM,MMV,McMinnville Municipal,McMinnville,GA,None,25.0
OR,NM,S21,Sunriver,Sunriver,GA,None,25.0
OR,NM,HRI,Hermiston Municipal,Hermiston,GA,None,24.0
OR,NM,BKE,Baker City Municipal,Baker City,GA,None,21.0
OR,NM,RBG,Roseburg Regional,Roseburg,GA,None,18.0
OR,NM,S07,Bend Municipal,Bend,GA,None,14.0
OR,NM,ONP,Newport Municipal,Newport,GA,None,11.0
OR,NM,LGD,La Grande/Union County,La Grande,GA,None,10.0
OR,NM,DLS,Columbia Gorge Regional/The Dalles Municipal,The Dalles,GA,None,10.0
OR,NM,5J0,Grant County Regional/Ogilvie Field,John Day,GA,None,8.0
OR,NM,4S3,Joseph State,Joseph,GA,None,7.0
OR,NM,TTD,Portland-Troutdale,Portland,GA,None,7.0
OR,NM,S05,Bandon State,Bandon,GA,None,6.0
OR,NM,4S2,Ken Jernstedt Airfield,Hood River,GA,None,6.0
OR,NM,ONO,Ontario Municipal,Ontario,GA,None,4.0
OR,NM,3S8,Grants Pass,Grants Pass,GA,None,3.0
OR,NM,3S9,Condon State Pauling Field,Condon,GA,None,1.0
OR,NM,7S5,Independence State,Independence,GA,None,1.0
OR Total,,,,,,,6811968.0
PA,EA,PHL,Philadelphia Int'l,Philadelphia,P,L,11870928.0
PA,EA,PIT,Pittsburgh Int'l,Pittsburgh,P,L,7113460.0
PA,EA,MDT,Harrisburg Int'l,Harrisburg,P,S,650340.0
PA,EA,ABE,Lehigh Valley Int'l,Allentown,P,S,494173.0
PA,EA,AVP,Wilkes-Barre/Scranton Int'l,Wilkes-Barre/Scranton,P,N,180418.0
PA,EA,ERI,Erie Int'l/Tom Ridge Field,Erie,P,N,138256.0
PA,EA,UNV,University Park,State College,P,N,123871.0
PA,EA,IPT,Williamsport Regional,Williamsport,P,N,27799.0
PA,EA,RDG,Reading Regional/Carl A Spaatz Field,Reading,P,N,17670.0
PA,EA,LBE,Arnold Palmer Regional,Latrobe,P,N,16965.0
PA,EA,JST,"John Murtha 
Johnstown-Cambria County",Johnstown,CS,None,9387.0
PA,EA,DUJ,Du Bois-Jefferson County,Brookville,CS,None,7883.0
PA,EA,AOO,Altoona-Blair County,Altoona,CS,None,5838.0
PA,EA,BFD,Bradford Regional,Bradford,CS,None,3962.0
PA,EA,FKL,Venango Regional,Franklin,CS,None,3085.0
PA,EA,LNS,Lancaster,Lancaster,GA,None,1287.0
PA,EA,PNE,Northeast Philadelphia,Philadelphia,GA,None,356.0
PA,EA,AGC,Allegheny County,Pittsburgh,GA,None,263.0
PA,EA,AFJ,Washington County,Washington,GA,None,208.0
PA,EA,UCP,New Castle Municipal,New Castle,GA,None,138.0
