Rank,RO,Locid,Airport Name,City,State,Svc Lvl,Hub,CY 2002 Boardings ,CY 2001 Boardings,% Change,CY
124.0,SW,XNA,Northwest Arkansas Regional,Cave Springs,AR,P,S,386388.0,360639.0,0.0714,2002.0
125.0,SW,CRP,Corpus Christi International,Corpus Christi,TX,P,S,380842.0,404151.0,-0.0577,2002.0
126.0,AL,FAI,Fairbanks International,Fairbanks,AK,P,S,380576.0,384828.0,-0.011,2002.0
127.0,GL,MLI,Quad City International,Moline,IL,P,S,375881.0,367688.0,0.0223,2002.0
128.0,WP,SBA,Santa Barbara Municipal,Santa Barbara,CA,P,S,368250.0,363581.0,0.0128,2002.0
129.0,SW,BTR,"Baton Rouge Metropolitan, 
Ryan Field",Baton Rouge,LA,P,S,367557.0,363419.0,0.0114,2002.0
130.0,GL,FNT,Bishop International,Flint,MI,P,S,361484.0,304809.0,0.1859,2002.0
131.0,GL,GRB,Austin Straubel International,Green Bay,WI,P,S,359230.0,337737.0,0.0636,2002.0
132.0,NM,BIL,Billings Logan International,Billings,MT,P,S,358362.0,341308.0,0.05,2002.0
133.0,AL,JNU,Juneau International,Juneau,AK,P,S,353001.0,402117.0,-0.1221,2002.0
134.0,WP,GCN,Grand Canyon National Park,Grand Canyon,AZ,P,S,337189.0,422061.0,-0.2011,2002.0
135.0,SO,VPS,Eglin AFB,Valparaiso,FL,P,S,324962.0,375196.0,-0.1339,2002.0
136.0,GL,TOL,Toledo Express,Toledo,OH,P,S,323988.0,329329.0,-0.0162,2002.0
,,,,,,S Total,,48664326.0,,,
137.0,SO,MOB,Mobile Regional,Mobile,AL,P,N,319425.0,356083.0,-0.1029,2002.0
138.0,CE,SGF,Springfield - Branson Regional,Springfield,MO,P,N,317511.0,320539.0,-0.0094,2002.0
139.0,SO,PIE,"St Petersburg - 
Clearwater International",Clearwater,FL,P,N,310650.0,319243.0,-0.0269,2002.0
140.0,NM,EUG,Mahlon Sweet Field,Eugene,OR,P,N,308662.0,356108.0,-0.1332,2002.0
141.0,GL,FSD,Joe Foss Field,Sioux Falls,SD,P,N,303085.0,336252.0,-0.0986,2002.0
142.0,EA,ROA,Roanoke Regional / Woodrum Field,Roanoke,VA,P,N,298606.0,304265.0,-0.0186,2002.0
143.0,EA,PHF,"Newport News / 
Williamsburg International",Newport News,VA,P,N,293181.0,206750.0,0.418,2002.0
144.0,SW,SHV,Shreveport Regional,Shreveport,LA,P,N,291642.0,309122.0,-0.0565,2002.0
145.0,GL,FWA,Fort Wayne International,Fort Wayne,IN,P,N,288996.0,295469.0,-0.0219,2002.0
146.0,SO,EYW,Key West International,Key West,FL,P,N,272440.0,261809.0,0.0406,2002.0
147.0,NM,BZN,Gallatin Field,Bozeman,MT,P,N,271712.0,255289.0,0.0643,2002.0
148.0,SW,MFE,McAllen Miller International,McAllen,TX,P,N,268236.0,287897.0,-0.0683,2002.0
149.0,GL,LAN,Capital City,Lansing,MI,P,N,260685.0,269066.0,-0.0311,2002.0
150.0,GL,ATW,Outagamie County Regional,Appleton,WI,P,N,259624.0,244930.0,0.06,2002.0
151.0,NE,ACK,Nantucket Memorial,Nantucket,MA,P,N,253422.0,272460.0,-0.0699,2002.0
152.0,EA,CRW,Yeager,Charleston,WV,P,N,251178.0,244592.0,0.0269,2002.0
153.0,SO,CHA,Lovell Field,Chattanooga,TN,P,N,248512.0,258554.0,-0.0388,2002.0
154.0,NE,BGR,Bangor International,Bangor,ME,P,N,239617.0,254678.0,-0.0591,2002.0
155.0,GL,FAR,Hector International,Fargo,ND,P,N,239305.0,222756.0,0.0743,2002.0
156.0,NM,MSO,Missoula International,Missoula,MT,P,N,237705.0,244110.0,-0.0262,2002.0
157.0,SO,AVL,Asheville Regional,Asheville,NC,P,N,236898.0,256215.0,-0.0754,2002.0
158.0,GL,MBS,MBS International,Saginaw,MI,P,N,236620.0,243855.0,-0.0297,2002.0
159.0,SO,DAB,Daytona Beach International,Daytona Beach,FL,P,N,234558.0,252367.0,-0.0706,2002.0
160.0,GL,AZO,"Kalamazoo / 
Battle Creek International",Kalamazoo,MI,P,N,233554.0,235302.0,-0.0074,2002.0
161.0,CE,LNK,Lincoln Municipal,Lincoln,NE,P,N,229625.0,234074.0,-0.019,2002.0
162.0,GL,EVV,Evansville Regional,Evansville,IN,P,N,223636.0,218164.0,0.0251,2002.0
163.0,NM,MFR,Rogue Valley International - Medford,Medford,OR,P,N,219569.0,221320.0,-0.0079,2002.0
164.0,SO,MGM,"Montgomery Regional 
(Dannelly Field)",Montgomery,AL,P,N,215365.0,212459.0,0.0137,2002.0
165.0,SO,ILM,Wilmington International,Wilmington,NC,P,N,215107.0,233881.0,-0.0803,2002.0
166.0,NM,PSC,Tri - Cities,Pasco,WA,P,N,211473.0,204573.0,0.0337,2002.0
167.0,GL,RAP,Rapid City Regional,Rapid City,SD,P,N,206337.0,186774.0,0.1047,2002.0
168.0,SO,TRI,Tri - Cities Regional TN / VA,"Bristol / Johnson / 
Kingsport",TN,P,N,205385.0,209915.0,-0.0216,2002.0
169.0,GL,PIA,Greater Peoria Regional,Peoria,IL,P,N,204333.0,197162.0,0.0364,2002.0
170.0,GL,BMI,"Central IL Regional 
at Bloomington - Normal",Bloomington / Normal,IL,P,N,202866.0,218392.0,-0.0711,2002.0
171.0,SO,MLB,Melbourne International,Melbourne,FL,P,N,201247.0,262069.0,-0.2321,2002.0
172.0,GL,TVC,Cherry Capital,Traverse City,MI,P,N,197366.0,188456.0,0.0473,2002.0
173.0,EA,AVP,Wilkes - Barre / Scranton International,Wilkes - Barre / Scranton,PA,P,N,196069.0,186548.0,0.051,2002.0
174.0,NM,ASE,Aspen - Pitkin County / Sardy Field,Aspen,CO,P,N,188330.0,187836.0,0.0026,2002.0
175.0,NM,JAC,Jackson Hole,Jackson,WY,P,N,184874.0,164960.0,0.1207,2002.0
176.0,NE,HYA,Barnstable Municipal - Boardman / Polando Field,Hyannis,MA,P,N,180807.0,197106.0,-0.0827,2002.0
177.0,SO,STX,Henry E Rohlsen,Christiansted,VI,P,N,179581.0,201691.0,-0.1096,2002.0
178.0,WP,MRY,Monterey Peninsula,Monterey,CA,P,N,176437.0,195788.0,-0.0988,2002.0
179.0,EA,SWF,Stewart International,Newburgh,NY,P,N,176195.0,197872.0,-0.1096,2002.0
180.0,EA,CHO,Charlottesville - Albemarle,Charlottesville,VA,P,N,173543.0,155863.0,0.1134,2002.0
181.0,NM,EGE,Eagle County Regional,Eagle,CO,P,N,169762.0,165639.0,0.0249,2002.0
182.0,SO,PFN,"Panama City - 
Bay County International",Panama City,FL,P,N,164607.0,161877.0,0.0169,2002.0
183.0,NM,FCA,Glacier Park International,Kalispell,MT,P,N,160042.0,156680.0,0.0215,2002.0
184.0,SW,LFT,Lafayette Regional,Lafayette,LA,P,N,154210.0,173020.0,-0.1087,2002.0
185.0,SO,AGS,Augusta Regional at Bush Field,Augusta,GA,P,N,148289.0,167127.0,-0.1127,2002.0
