Rank,RO,ST,Locid,City,Airport Name,Svc Lvl,Hub,CY 05 Enplanements,CY 04 Enplanements,% Change
57.0,SO,FL,JAX,Jacksonville,Jacksonville International,P,M,2890298.0,2619494.0,0.1034
94.0,SO,FL,PNS,Pensacola,Pensacola Regional,P,S,815157.0,734921.0,0.1092
96.0,SO,FL,SFB,Sanford,Orlando Sanford International,P,S,789795.0,926820.0,-0.1478
105.0,SO,FL,SRQ,Sarasota/Bradenton,Sarasota/Bradenton International,P,S,656007.0,562398.0,0.1664
111.0,SO,FL,TLH,Tallahassee,Tallahassee Regional,P,S,573723.0,585263.0,-0.0197
136.0,SO,FL,VPS,Valparaiso,Eglin AFB,P,S,388778.0,380871.0,0.0208
150.0,SO,FL,EYW,Key West,Key West International,P,N,314075.0,298790.0,0.0512
153.0,SO,FL,PIE,Clearwater,St Petersburg-Clearwater International,P,N,298647.0,666904.0,-0.5522
154.0,SO,FL,DAB,Daytona Beach,Daytona Beach International,P,N,297565.0,307295.0,-0.0317
170.0,SO,FL,MLB,Melbourne,Melbourne International,P,N,226207.0,201148.0,0.1246
183.0,SO,FL,PFN,Panama City,Panama City-Bay County International,P,N,188318.0,189565.0,-0.0066
191.0,SO,FL,GNV,Gainesville,Gainesville Regional,P,N,171036.0,135340.0,0.2638
285.0,SO,FL,FD54,Kissimmee,Gold Eagle Helicopters Inc,GA,None,38325.0,0.0,0.0
299.0,SO,FL,APF,Naples,Naples Municipal,P,N,32898.0,8395.0,2.9188
411.0,SO,FL,NIP,Jacksonville,Jacksonville NAS /Towers Field/,GA,None,9050.0,8436.0,0.0728
678.0,SO,FL,MTH,Marathon,The Florida Keys Marathon,GA,None,1085.0,761.0,0.4258
690.0,SO,FL,COF,Cocoa Beach,Patrick AFB,GA,None,991.0,816.0,0.2145
750.0,SO,FL,SGJ,Saint Augustine,St Augustine,GA,None,483.0,26.0,17.5769
762.0,SO,FL,PAM,Panama City,Tyndall AFB,GA,None,437.0,980.0,-0.5541
786.0,SO,FL,EVB,New Smyrna Beach,New Smyrna Beach Municipal,GA,None,330.0,976.0,-0.6619
798.0,SO,FL,FXE,Fort Lauderdale,Fort Lauderdale Executive,GA,None,291.0,486.0,-0.4012
817.0,SO,FL,OPF,Miami,Opa Locka,GA,None,250.0,2833.0,-0.9118
834.0,SO,FL,MCF,Tampa,MacDill AFB,GA,None,220.0,167.0,0.3174
847.0,SO,FL,FMY,Fort Myers,Page Field,GA,None,186.0,31.0,5.0
858.0,SO,FL,NPA,Pensacola,Pensacola NAS/Forrest Sherman Field/,GA,None,174.0,112.0,0.5536
884.0,SO,FL,DTS,Destin,Destin-Fort Walton Beach,GA,None,140.0,259.0,-0.4595
892.0,SO,FL,ORL,Orlando,Executive,GA,None,132.0,62.0,1.129
941.0,SO,FL,X47,Bunnell,Flagler County,GA,None,92.0,20.0,3.6
948.0,SO,FL,ISM,Kissimmee,Kissimmee Gateway,GA,None,87.0,47.0,0.8511
964.0,SO,FL,TMB,Miami,Kendall-Tamiami Executive,GA,None,76.0,31.0,1.4516
976.0,SO,FL,SUA,Stuart,Witham Field,GA,None,72.0,64.0,0.125
980.0,SO,FL,VRB,Vero Beach,Vero Beach Municipal,GA,None,70.0,20.0,2.5
986.0,SO,FL,BCT,Boca Raton,Boca Raton,GA,None,68.0,88.0,-0.2273
989.0,SO,FL,CRG,Jacksonville,Craig Municipal,GA,None,67.0,16.0,3.1875
1093.0,SO,FL,MKY,Marco Island,Marco Island,GA,None,38.0,26.0,0.4615
1104.0,SO,FL,VDF,Tampa,Vandenberg,GA,None,36.0,0.0,0.0
1122.0,SO,FL,LEE,Leesburg,Leesburg International,GA,None,32.0,10.0,2.2
1157.0,SO,FL,VNC,Venice,Venice Municipal,GA,None,28.0,4.0,6.0
1175.0,SO,FL,55J,Fernandina Beach,Fernandina Beach Municipal,GA,None,25.0,11.0,1.2727
1234.0,SO,FL,OCF,Ocala,Ocala International-Jim Taylor Field,GA,None,19.0,102.0,-0.8137
1258.0,SO,FL,OBE,Okeechobee,Okeechobee County,GA,None,17.0,0.0,0.0
1264.0,SO,FL,VQQ,Jacksonville,Cecil Field,GA,None,17.0,5.0,2.4
1269.0,SO,FL,CEW,Crestview,Bob Sikes,GA,None,16.0,8.0,1.0
1291.0,SO,FL,LAL,Lakeland,Lakeland Linder Regional,GA,None,15.0,13.0,0.1538
1294.0,SO,FL,PGD,Punta Gorda,Charlotte County,GA,None,15.0,32.0,-0.5313
1300.0,SO,FL,X44,Miami,Miami,GA,None,15.0,0.0,0.0
1384.0,SO,FL,SEF,Sebring,Sebring Regional,GA,None,11.0,4.0,1.75
1412.0,SO,FL,TIX,Titusville,Space Coast Regional,GA,None,10.0,139.0,-0.9281
1454.0,SO,FL,COI,Merritt Island,Merritt Island,GA,None,8.0,4.0,1.0
1486.0,SO,FL,AVO,Avon Park,Avon Park Executive,GA,None,7.0,0.0,0.0
1490.0,SO,FL,F45,West Palm Beach,North Palm Beach County General Aviation,GA,None,7.0,13.0,-0.4615
1509.0,SO,FL,AAF,Apalachicola,Apalachicola Municipal,GA,None,6.0,0.0,0.0
1601.0,SO,FL,07FA,Key Largo,Ocean Reef Club,GA,None,4.0,13.0,-0.6923
1602.0,SO,FL,1J0,Bonifay,Tri-County,GA,None,4.0,0.0,0.0
1709.0,SO,FL,FPR,Fort Pierce,St Lucie County International,GA,None,3.0,35.0,-0.9143
1796.0,SO,FL,DED,DeLand,DeLand Municipal-Sidney H Taylor Field,GA,None,2.0,0.0,0.0
