Rank,RO,ST,Locid,City,Airport Name,S/L,Hub,CY 18 Enplanements,CY 17 Enplanements,% Change
404,AL,AK,MRI,Anchorage,Merrill Field,P,N,10478,18298,-0.4274
405,NM,CO,PUB,Pueblo,Pueblo Memorial,P,N,10459,3833,1.7287
406,NE,NH,LEB,Lebanon,Lebanon Municipal,P,N,10360,10383,-0.0022
407,EA,WV,LWB,Lewisburg,Greenbrier Valley,P,N,10359,5495,0.8852
408,WP,AZ,PRC,Prescott,Prescott Regional - Ernest A Love Field,P,N,10337,5888,0.7556
409,NE,MA,PVC,Provincetown,Provincetown Municipal,P,N,10316,8900,0.1591
410,SO,FL,VRB,Vero Beach,Vero Beach Regional,P,N,10314,9110,0.1322
411,NE,MA,BED,Bedford,Laurence G Hanscom Field,P,N,10194,10956,-0.0696
412,NM,WA,ORS,Eastsound,Orcas Island,P,N,10101,7223,0.3984
413,NM,MT,SDY,Sidney,Sidney-Richland Regional,P,N,10055,8429,0.1929
414,AL,AK,VDZ,Valdez,Valdez Pioneer Field,P,N,10050,11321,-0.1123
425,NM,MT,WYS,West Yellowstone,Yellowstone,P,N,8200,8786,-0.0667
,,,265,,Nonhub Primary ,,,,,
415,SO,MS,PIB,Moselle,Hattiesburg-Laurel Regional,CS,None,9813,11726,-0.1631
416,GL,IL,DEC,Decatur,Decatur,CS,None,9519,8324,0.1436
417,AL,AK,GAL,Galena,Edward G Pitka Sr,CS,None,9440,9664,-0.0232
418,CE,MO,CGI,Scott City,Cape Girardeau Regional,CS,None,9160,6321,0.4491
419,AL,AK,ENM,Emmonak,Emmonak,CS,None,9117,8004,0.1391
421,CE,IA,BRL,Burlington,Southeast Iowa Regional,CS,None,8513,7759,0.0972
422,NE,ME,BHB,Bar Harbor,Hancock County-Bar Harbor,CS,None,8507,9509,-0.1054
423,CE,IA,FOD,Fort Dodge,Fort Dodge Regional,CS,None,8359,7140,0.1707
424,CE,IA,MCW,Mason City,Mason City Municipal,CS,None,8278,7502,0.1034
426,NM,CO,CEZ,Cortez,Cortez Municipal,CS,None,8045,7890,0.0196
427,AL,AK,HNS,Haines,Haines,CS,None,8026,7864,0.0206
429,CE,KS,LBL,Liberal,Liberal Mid-America Regional,CS,None,7985,994,7.0332
430,NE,MA,EWB,New Bedford,New Bedford Regional,CS,None,7956,5998,0.3264
432,CE,MO,TBN,Fort Leonard Wood (U.S. Army),Waynesville-St Robert Regional Forney Field,CS,None,7717,9078,-0.1499
434,WP,CA,MCE,Merced,Merced Regional/Macready Field,CS,None,7355,8318,-0.1158
435,AL,AK,SGY,Skagway,Skagway,CS,None,7324,7380,-0.0076
436,NM,CO,ALS,Alamosa,San Luis Valley Regional/Bergman Field,CS,None,7125,6494,0.0972
437,AL,AK,AQH,Quinhagak,Quinhagak,CS,None,7071,6101,0.159
438,AL,AK,CDB,Cold Bay,Cold Bay,CS,None,7042,7338,-0.0403
439,SO,PR,MAZ,Mayaguez,Eugenio Maria De Hostos,CS,None,6838,6255,0.0932
440,AL,AK,HNH,Hoonah,Hoonah,CS,None,6817,6820,-0.0004
441,WP,CA,IPL,Imperial,Imperial County,CS,None,6648,6136,0.0834
442,AL,AK,FYU,Fort Yukon,Fort Yukon,CS,None,6641,6799,-0.0232
443,GL,ND,DVL,Devils Lake,Devils Lake Regional,CS,None,6628,7767,-0.1466
447,NM,OR,PDT,Pendleton,Eastern Oregon Regional at Pendleton,CS,None,6396,5701,0.1219
448,AL,AK,IIK,Kipnuk,Kipnuk,CS,None,6186,5176,0.1951
449,SO,AL,MSL,Muscle Shoals,Northwest Alabama Regional,CS,None,6123,6490,-0.0565
450,AL,AK,CXF,Coldfoot,Coldfoot,CS,None,6020,6345,-0.0512
451,EA,PA,LNS,Lititz,Lancaster,CS,None,6012,4577,0.3135
452,SW,NM,SVC,Silver City,Grant County,CS,None,5949,5686,0.0463
455,WP,CA,CEC,Crescent City,Jack McNamara Field,CS,None,5907,6802,-0.1316
456,AL,AK,VAK,Chevak,Chevak,CS,None,5891,5243,0.1236
457,EA,WV,MGW,Morgantown,Morgantown Municipal-Walter L Bill Hart Field,CS,None,5890,5698,0.0337
458,WP,CA,CRQ,Carlsbad,McClellan-Palomar,CS,None,5856,5931,-0.0126
459,SW,AR,JBR,Jonesboro,Jonesboro Municipal,CS,None,5839,4785,0.2203
460,SO,TN,MKL,Jackson,McKellar-Sipes Regional,CS,None,5706,4007,0.424
461,SO,MS,GLH,Greenville,Greenville Mid-Delta,CS,None,5634,5646,-0.0021
463,NE,VT,RUT,Rutland,Rutland - Southern Vermont Regional,CS,None,5554,5024,0.1055
464,AL,AK,ILI,Iliamna,Iliamna,CS,None,5553,5752,-0.0346
465,NE,ME,AUG,Augusta,Augusta State,CS,None,5530,5435,0.0175
466,EA,PA,DUJ,Brookville,Dubois Regional,CS,None,5448,3888,0.4012
467,GL,MI,IWD,Ironwood,Gogebic-Iron County,CS,None,5335,5348,-0.0024
468,SW,AR,HRO,Harrison,Boone County,CS,None,5307,4371,0.2141
469,CE,MO,IRK,Kirksville,Kirksville Regional,CS,None,5306,5152,0.0299
470,EA,NY,SLK,Saranac Lake,Adirondack Regional,CS,None,5273,4977,0.0595
471,CE,NE,CDR,Chadron,Chadron Municipal,CS,None,5218,5532,-0.0568
472,AL,AK,HPB,Hooper Bay,Hooper Bay,CS,None,5160,5022,0.0275
473,SW,NM,CNM,Carlsbad,Cavern City Air Terminal,CS,None,5124,3972,0.29
474,AL,AK,WLK,Selawik,Selawik,CS,None,5094,5260,-0.0316
475,AL,AK,WTK,Noatak,Noatak,CS,None,4984,4716,0.0568
476,GL,MN,TVF,Thief River Falls,Thief River Falls Regional,CS,None,4805,5735,-0.1622
477,SW,AR,HOT,Hot Springs,Memorial Field,CS,None,4775,2654,0.7992
478,SW,NM,CVN,Clovis,Clovis Municipal,CS,None,4750,5053,-0.06
480,AL,AK,BVK,Buckland,Buckland,CS,None,4694,4456,0.0534
481,AL,AK,D76,Noorvik,Robert /Bob/ Curtis Memorial,CS,None,4584,4444,0.0315
482,CE,NE,EAR,Kearney,Kearney Regional,CS,None,4568,4607,-0.0085
483,AL,AK,PHO,Point Hope,Point Hope,CS,None,4515,4964,-0.0905
484,EA,NY,MSS,Massena,Massena International-Richards Field,CS,None,4463,4852,-0.0802
485,AL,AK,SCM,Scammon Bay,Scammon Bay,CS,None,4417,4093,0.0792
486,EA,PA,JST,Johnstown,John Murtha Johnstown-Cambria County,CS,None,4381,3594,0.219
488,AL,AK,SOV,Seldovia,Seldovia,CS,None,4315,4206,0.0259
489,AL,AK,A61,Tuntutuliak,Tuntutuliak,CS,None,4296,3614,0.1887
490,AL,AK,OOK,Wade Hampton (Census Area),Toksook Bay,CS,None,4294,4777,-0.1011
491,AL,AK,Z09,Kasigluk,Kasigluk,CS,None,4273,3049,0.4014
493,NM,MT,GGW,Glasgow,Wokal Field/Glasgow-Valley County,CS,None,4201,3517,0.1945
494,EA,PA,BFD,Bradford,Bradford Regional,CS,None,4191,3897,0.0754
495,EA,PA,AOO,Altoona,Altoona-Blair County,CS,None,4103,3806,0.078
496,WP,HI,MUE,Kamuela,Waimea-Kohala,CS,None,4068,4407,-0.0769
497,WP,AZ,SOW,Show Low,Show Low Regional,CS,None,4042,4917,-0.178
498,AL,AK,CFK,Chefornak,Chefornak,CS,None,4002,4027,-0.0062
499,GL,MI,YIP,Detroit,Willow Run,CS,None,3987,2938,0.357
501,AL,AK,SVA,Savoonga,Savoonga,CS,None,3926,4188,-0.0626
503,NM,MT,OLF,Wolf Point,L M Clayton,CS,None,3851,3804,0.0124
504,CE,KS,DDC,Dodge City,Dodge City Regional,CS,None,3831,1003,2.8195
505,AL,AK,WBB,Stebbins,Stebbins,CS,None,3798,2687,0.4135
506,AL,AK,AWI,Barrow (County),Wainwright,CS,None,3761,3756,0.0013
507,AL,AK,IAN,Kiana,Bob Baker Memorial,CS,None,3718,3485,0.0669
508,AL,AK,DUY,Kongiganak,Kongiganak,CS,None,3712,3589,0.0343
509,AL,AK,2A9,Kotlik,Kotlik,CS,None,3709,3612,0.0269
510,AL,AK,KWT,Kwethluk,Kwethluk,CS,None,3685,2948,0.25
511,SW,AR,ELD,El Dorado,South Arkansas Regional at Goodwin Field,CS,None,3655,1475,1.478
512,AL,AK,SDP,Sand Point,Sand Point,CS,None,3636,3998,-0.0905
514,AL,AK,GAM,Gambell,Gambell,CS,None,3610,3493,0.0335
515,AL,AK,KVL,Kivalina,Kivalina,CS,None,3580,3454,0.0365
516,AL,AK,16A,Nunapitchuk,Nunapitchuk,CS,None,3443,3096,0.1121
517,AL,AK,KLG,Kalskag,Kalskag,CS,None,3425,2915,0.175
518,AL,AK,EEK,Eek,Eek,CS,None,3382,2839,0.1913
519,AL,AK,AKP,Anaktuvuk Pass,Anaktuvuk Pass,CS,None,3369,3856,-0.1263
520,AL,AK,SHH,Shishmaref,Shishmaref,CS,None,3350,3360,-0.003
522,AL,AK,GGV,Kwigillingok,Kwigillingok,CS,None,3320,3341,-0.0063
523,AL,AK,KAE,Kake,Kake,CS,None,3309,3087,0.0719
524,AL,AK,Z13,Akiachak,Akiachak,CS,None,3308,2556,0.2942
525,WP,HI,LUP,Kalaupapa,Kalaupapa,CS,None,3256,5598,-0.4184
528,NM,MT,HVR,Havre,Havre City-County,CS,None,3237,2716,0.1918
529,NM,WY,CYS,Cheyenne,Cheyenne Regional/Jerry Olson Field,CS,None,3234,1894,0.7075
530,AL,AK,MOU,Mountain Village,Mountain Village,CS,None,3222,3263,-0.0126
531,EA,WV,PKB,Parkersburg,Mid-Ohio Valley Regional,CS,None,3182,4155,-0.2342
532,AL,AK,BTI,Kaktovik,Barter Island,CS,None,3135,3212,-0.024
533,AL,AK,HLA,Huslia,Huslia,CS,None,3128,2897,0.0797
