Rank,RO,ST,Locid,City,Airport Name,S/L,Hub,CY 09 Boardings,CY 08 Boardings,% Change
1359.0,NM,MT,U05,Philipsburg,Riddick Field,GA,--,7.0,0.0,0.0
1408.0,NM,MT,6S0,Big Timber,Big Timber,GA,--,5.0,8.0,-0.375
1409.0,NM,MT,7S0,Ronan,Ronan,GA,--,5.0,0.0,0.0
1416.0,NM,MT,EKS,Ennis,Ennis - Big Sky,GA,--,5.0,8.0,-0.375
1480.0,NM,MT,CTB,Cut Bank,Cut Bank Municipal,GA,--,4.0,6.0,-0.3333
1615.0,NM,MT,57S,Troy,Troy,GA,--,2.0,0.0,0.0
1664.0,NM,MT,LVM,Livingston,Mission Field,GA,--,2.0,7.0,-0.7143
11.0,SO,NC,CLT,Charlotte,Charlotte/Douglas International,P,L,17165376.0,17281425.0,-0.0067
38.0,SO,NC,RDU,Raleigh,Raleigh-Durham International,P,M,4435624.0,4792909.0,-0.0745
91.0,SO,NC,GSO,Greensboro,Piedmont Triad International,P,S,862679.0,1052258.0,-0.1802
123.0,SO,NC,ILM,Wilmington,Wilmington International,P,S,400526.0,400993.0,-0.0012
149.0,SO,NC,AVL,Asheville,Asheville Regional,P,N,293789.0,282306.0,0.0407
165.0,SO,NC,FAY,Fayetteville,Fayetteville Regional/Grannis Field,P,N,231002.0,202597.0,0.1402
205.0,SO,NC,OAJ,Jacksonville,Albert J Ellis,P,N,119961.0,126947.0,-0.055
208.0,SO,NC,EWN,New Bern,Coastal Carolina Regional,P,N,112881.0,111184.0,0.0153
254.0,SO,NC,PGV,Greenville,Pitt-Greenville,P,N,59007.0,52287.0,0.1285
275.0,SO,NC,NKT,Cherry Point,Cherry Point MCAS /Cunningham Field/,GA,--,42159.0,34796.0,0.2116
290.0,SO,NC,POB,Fayetteville,Pope AFB,GA,--,33381.0,25692.0,0.2993
417.0,SO,NC,JQF,Concord,Concord Regional,GA,--,7191.0,6149.0,0.1695
441.0,SO,NC,ISO,Kinston,Kinston Regional Jetport at Stallings Field,GA,--,5765.0,9455.0,-0.3903
543.0,SO,NC,INT,Winston-Salem,Smith Reynolds,GA,--,2530.0,2102.0,0.2036
631.0,SO,NC,GSB,Goldsboro,Seymour Johnson AFB,GA,--,1259.0,895.0,0.4067
849.0,SO,NC,RUQ,Salisbury,Rowan County,GA,--,135.0,10.0,12.5
896.0,SO,NC,HKY,Hickory,Hickory Regional,GA,--,87.0,112.0,-0.2232
952.0,SO,NC,SOP,Pinehurst/Southern Pines,Moore County,GA,--,57.0,84.0,-0.3214
956.0,SO,NC,TDF,Roxboro,Person County,GA,--,54.0,57.0,-0.0526
1160.0,SO,NC,IGX,Chapel Hill,Horace Williams,GA,--,15.0,93.0,-0.8387
1197.0,SO,NC,MQI,Manteo,Dare County Regional,GA,--,13.0,19.0,-0.3158
1207.0,SO,NC,ECG,Elizabeth City,Elizabeth City CG Air Station/Regional,GA,--,12.0,15.0,-0.2
1259.0,SO,NC,1A5,Franklin,Macon County,GA,--,9.0,10.0,-0.1
1285.0,SO,NC,SUT,Southport,Cape Fear Regional Jetport/Howie Franklin Field,GA,--,9.0,15.0,-0.4
1332.0,SO,NC,AFP,Wadesboro,Anson County - Jeff Cloud Field,GA,--,7.0,0.0,0.0
1406.0,SO,NC,2NC1,Waxhaw,Hawk's Knoll,GA,--,5.0,18.0,-0.7222
1495.0,SO,NC,HBI,Asheboro,Asheboro Regional,GA,--,4.0,0.0,0.0
1506.0,SO,NC,MRN,Lenoir,Foothills Regional,GA,--,4.0,10.0,-0.6
1507.0,SO,NC,OCW,Washington,Warren Field,GA,--,4.0,6.0,-0.3333
1522.0,SO,NC,SVH,Statesville,Statesville Regional,GA,--,4.0,77.0,-0.9481
1548.0,SO,NC,BUY,Burlington,Burlington-Alamance Regional,GA,--,3.0,10.0,-0.7
1558.0,SO,NC,GEV,Jefferson,Ashe County,GA,--,3.0,0.0,0.0
1587.0,SO,NC,RWI,Rocky Mount,Rocky Mount-Wilson Regional,GA,--,3.0,68.0,-0.9559
1699.0,SO,NC,UKF,North Wilkesboro,Wilkes County,GA,--,2.0,7.0,-0.7143
1740.0,SO,NC,FFA,Kill Devil Hills,First Flight,GA,--,1.0,19.0,-0.9474
136.0,GL,ND,FAR,Fargo,Hector International,P,S,352041.0,326941.0,0.0768
179.0,GL,ND,BIS,Bismarck,Bismarck Municipal,P,N,184103.0,178005.0,0.0343
218.0,GL,ND,GFK,Grand Forks,Grand Forks International,P,N,97361.0,88093.0,0.1052
241.0,GL,ND,MOT,Minot,Minot International,P,N,67080.0,71595.0,-0.0631
382.0,GL,ND,ISN,Williston,Sloulin Field International,P,N,11338.0,12163.0,-0.0678
401.0,GL,ND,DIK,Dickinson,Dickinson - Theodore Roosevelt Regional,CS,--,8924.0,9164.0,-0.0262
475.0,GL,ND,DVL,Devils Lake,Devils Lake Regional,CS,--,3984.0,3216.0,0.2388
492.0,GL,ND,JMS,Jamestown,Jamestown Regional,CS,--,3471.0,2769.0,0.2535
741.0,GL,ND,MIB,Minot,Minot AFB,GA,--,442.0,380.0,0.1632
1095.0,GL,ND,RDR,Grand Forks,Grand Forks AFB,GA,--,22.0,0.0,0.0
1561.0,GL,ND,GWR,Gwinner,Gwinner-Roger Melroe Field,GA,--,3.0,149.0,-0.9799
1661.0,GL,ND,K74,Kindred,Hamry Field,GA,--,2.0,0.0,0.0
63.0,CE,NE,OMA,Omaha,Eppley Airfield,P,M,2083973.0,2136880.0,-0.0248
193.0,CE,NE,LNK,Lincoln,Lincoln,P,N,142507.0,163177.0,-0.1267
336.0,CE,NE,GRI,Grand Island,Central Nebraska Regional,P,N,20136.0,7961.0,1.5293
392.0,CE,NE,EAR,Kearney,Kearney Regional,P,N,10113.0,11956.0,-0.1541
397.0,CE,NE,BFF,Scottsbluff,Western Nebraska Regional/William B. Heilig Field,CS,--,9221.0,10608.0,-0.1308
408.0,CE,NE,LBF,North Platte,North Platte Regional Airport Lee Bird Field,CS,--,7924.0,10288.0,-0.2298
583.0,CE,NE,CDR,Chadron,Chadron Municipal,GA,--,1875.0,2152.0,-0.1287
595.0,CE,NE,MCK,McCook,McCook Ben Nelson Regional,GA,--,1677.0,1848.0,-0.0925
618.0,CE,NE,AIA,Alliance,Alliance Municipal,GA,--,1395.0,1786.0,-0.2189
658.0,CE,NE,OFF,Omaha,Offutt AFB,GA,--,1048.0,1293.0,-0.1895
1058.0,CE,NE,OFK,Norfolk,Norfolk Regional/Karl Stefan Memorial Field,GA,--,26.0,23.0,0.1304
1059.0,CE,NE,ONL,O'Neill,The O'Neill Municipal-John L Baker Field,GA,--,26.0,4.0,5.5
1206.0,CE,NE,AUH,Aurora,Aurora Municipal - Al Potter Field,GA,--,12.0,0.0,0.0
1298.0,CE,NE,CSB,Cambridge,Cambridge Municipal,GA,--,8.0,0.0,0.0
1387.0,CE,NE,JYR,York,York Municipal,GA,--,6.0,0.0,0.0
1424.0,CE,NE,HSI,Hastings,Hastings Municipal,GA,--,5.0,8.0,-0.375
1497.0,CE,NE,IML,Imperial,Imperial Municipal,GA,--,4.0,0.0,0.0
1521.0,CE,NE,SNY,Sidney,Sidney Municipal/Lloyd W. Carr Field,GA,--,4.0,22.0,-0.8182
