rank,airport_code,airport_name,city,state,enplanements
372,CVX,CHARLEVOIX MUNI,CHARLEVOIX,MI,"15,357"
373,CEC,JACK MC NAMARA FIELD,CRESCENT CITY,CA,"15,248"
374,BLV,SCOTT AFB/MIDAMERICA,BELLEVILLE,IL,"15,245"
375,LEB,LEBANON MUNI,LEBANON,NH,"15,156"
376,GST,GUSTAVUS,GUSTAVUS,AK,"14,776"
377,BHB,HANCOCK COUNTY-BAR HARBOR,BAR HARBOR,ME,"14,399"
378,PIB,HATTIESBURG-LAUREL REGIONAL,HATTIESBURG/LAUREL,MS,"14,120"
379,LNS,LANCASTER,LANCASTER,PA,"13,977"
380,PDT,EASTERN OREGON REGIONAL AT,PENDLETON,OR,"13,785"
381,RIW,RIVERTON REGIONAL,RIVERTON,WY,"13,495"
382,HIB,CHISHOLM-HIBBING,HIBBING,MN,"13,081"
383,WRG,WRANGELL,WRANGELL,AK,"13,059"
384,KDK,KODIAK MUNI,KODIAK,AK,"12,969"
385,GLH,MID DELTA RGNL,GREENVILLE,MS,"12,856"
386,VIS,VISALIA MUNI,VISALIA,CA,"12,816"
387,BFD,BRADFORD REGIONAL,BRADFORD,PA,"12,785"
388,LAR,LARAMIE REGIONAL,LARAMIE,WY,"12,780"
389,LWB,GREENBRIER VALLEY,LEWISBURG,WV,"12,717"
390,MCW,MASON CITY MUNI,MASON CITY,IA,"12,612"
391,APN,ALPENA COUNTY REGIONAL,ALPENA,MI,"12,609"
392,BFF,WESTERN NEB. RGNL/WILLIAM B,SCOTTSBLUFF,NE,"12,566"
393,IYK,INYOKERN,INYOKERN,CA,"12,564"
394,17Z,MANOKOTAK,MANOKOTAK,AK,"12,522"
395,GRI,CENTRAL NEBRASKA REGIONAL,GRAND ISLAND,NE,"12,362"
396,GON,GROTON-NEW LONDON,GROTON NEW LONDON,CT,"12,111"
397,FOD,FORT DODGE REGIONAL,FORT DODGE,IA,"11,729"
398,SDY,SIDNEY-RICHLAND MUNI,SIDNEY,MT,"11,507"
399,3W2,PUT IN BAY,PUT IN BAY,OH,"11,504"
400,GCK,GARDEN CITY REGIONAL,GARDEN CITY,KS,"11,402"
401,MWA,WILLIAMSON COUNTY REGIONAL,MARION,IL,"10,992"
402,HNS,HAINES,HAINES,AK,"10,655"
403,MWH,GRANT COUNTY INTL,MOSES LAKE,WA,"10,634"
404,RKS,ROCK SPRINGS-SWEETWATER COU,ROCK SPRINGS,WY,"10,628"
405,PCW,CARL R KELLER FIELD,PORT CLINTON,OH,"10,586"
406,BFI,BOEING FIELD/KING COUNTY IN,SEATTLE,WA,"10,582"
407,AHN,ATHENS/BEN EPPS,ATHENS,GA,"10,551"
408,FYU,FORT YUKON,FORT YUKON,AK,"10,498"
409,HNH,HOONAH,HOONAH,AK,"10,483"
410,EAR,KEARNEY MUNI,KEARNEY,NE,"10,463"
411,CDC,CEDAR CITY REGIONAL,CEDAR CITY,UT,"10,439"
412,GPZ,GRAND RAPIDS/ITASCA CO-GORD,GRAND RAPIDS,MN,"10,393"
413,BID,BLOCK ISLAND STATE,BLOCK ISLAND,RI,"10,313"
414,74S,ANACORTES,ANACORTES,WA,"10,232"
415,UIN,QUINCY REGIONAL-BALDWIN FIE,QUINCY,IL,"10,173"
416,WST,WESTERLY STATE,WESTERLY,RI,"10,152"
417,OWB,OWENSBORO-DAVIESS COUNTY,OWENSBORO,KY,"10,034"
418,MTM,METLAKATLA,METLAKATLA,AK,"10,027"
419,MTH,THE FLORIDA KEYS MARATHON,MARATHON,FL,"10,011"
