site_number,state,runway_id,runway_length,runway_width,runway_surface_type_condition,runway_surface_treatment,pavement_class,edge_lights_intensity,base_end_id,base_end_true_alignment,base_end_ils_type,base_end_right_traffic_pattern,base_end_markings_type,base_end_markings_condition,base_end_physical_latitude,base_end_physical_latitude_s,base_end_physical_longitude,base_end_physical_longitude_s,base_end_physical_elevation,base_end_crossing_height,base_end_glide_path_angle,base_end_displaced_latitude,base_end_displaced_latitude_s,base_end_displaced_longitude,base_end_displaced_longitude_s,base_end_displaced_elevation,base_end_displaced_length,base_end_tdz_elevation,base_end_vasi,base_end_rvr,base_end_rvv,base_end_als,base_end_reil,base_end_centerline_lights,base_end_touchdown_lights,base_end_object_description,base_end_object_mark_light,base_end_part77_category,base_end_object_clear_slope,base_end_object_height,base_end_object_distance,base_end_object_offset,reciprocal_end_id,reciprocal_end_true_alignment,reciprocal_end_ils_type,reciprocal_end_right_traffic_pattern,reciprocal_end_markings_type,reciprocal_end_markings_condition,reciprocal_end_physical_latitude,reciprocal_end_physical_latitude_s,reciprocal_end_physical_longitude,reciprocal_end_physical_longitude_s,reciprocal_end_physical_elevation,reciprocal_end_crossing_height,reciprocal_end_glide_path_angle,reciprocal_end_displaced_latitude,reciprocal_end_displaced_latitude_s,reciprocal_end_displaced_longitude,reciprocal_end_displaced_longitude_s,reciprocal_end_displaced_elevation,reciprocal_end_displaced_length,reciprocal_end_tdz_elevation,reciprocal_end_vasi,reciprocal_end_rvr,reciprocal_end_rvv,reciprocal_end_als,reciprocal_end_reil,reciprocal_end_centerline_lights,reciprocal_end_touchdown_lights,reciprocal_end_object_description,reciprocal_end_object_mark_light,reciprocal_end_part77_category,reciprocal_end_object_clear_slope,reciprocal_end_object_height,reciprocal_end_object_distance,reciprocal_end_object_offset,runway_length_source,runway_length_source_date,runway_weight_bearing_capacity_sw,runway_weight_bearing_capacity_dw,runway_weight_bearing_capacity_dt,runway_weight_bearing_capacity_ddt,base_end_gradient,base_end_gradient_direction,base_end_position_source,base_end_position_source_date,base_end_elevation_source,base_end_elevation_source_date,base_end_displaced_threshold_position_source,base_end_displaced_threshold_position_source_date,base_end_displaced_threshold_elevation_source,base_end_displaced_threshold_elevation_source_date,base_end_touchdown_zone_elevation_source,base_end_touchdown_zone_elevation_source_date,base_end_take_off_run_available_tora,base_end_take_off_distance_available_toda,base_end_aclt_stop_distance_available_asda,base_end_landing_distance_available_lda,base_end_landing_distance_available_lahso,base_end_landing_distance_available_lahso_int_rwy_id,base_end_landing_distance_available_lahso_int_entity_desc,base_end_landing_distance_available_lahso_hld_pt_latitude,base_end_landing_distance_available_lahso_hld_pt_latitude_s,base_end_landing_distance_available_lahso_hld_pt_longitude,base_end_landing_distance_available_lahso_hld_pt_longitude_s,base_end_landing_distance_available_lahso_coord_src,base_end_landing_distance_available_lahso_coord_src_date,reciprocal_end_gradient,reciprocal_end_gradient_direction,reciprocal_end_position_source,reciprocal_end_position_source_date,reciprocal_end_elevation_source,reciprocal_end_elevation_source_date,reciprocal_end_displaced_threshold_position_source,reciprocal_end_displaced_threshold_position_source_date,reciprocal_end_displaced_threshold_elevation_source,reciprocal_end_displaced_threshold_elevation_source_date,reciprocal_end_touchdown_zone_elevation_source,reciprocal_end_touchdown_zone_elevation_source_date,reciprocal_end_take_off_run_available_tora,reciprocal_end_take_off_distance_available_toda,reciprocal_end_aclt_stop_distance_available_asda,reciprocal_end_landing_distance_available_lda,reciprocal_end_landing_distance_available_lahso,reciprocal_end_landing_distance_available_lahso_int_rwy_id,reciprocal_end_landing_distance_available_lahso_int_entity_desc,reciprocal_end_landing_distance_available_lahso_hld_pt_latitude,reciprocal_end_landing_distance_available_lahso_hld_pt_latitude_s,reciprocal_end_landing_distance_available_lahso_hld_pt_longitude,reciprocal_end_landing_distance_available_lahso_hld_pt_longitude_s,reciprocal_end_landing_distance_available_lahso_coord_src,reciprocal_end_landing_distance_available_lahso_coord_src_date
09187.*A,MA,01/19,4999,75,ASPH-G,,,MED,01,1,,N,NPI,G,42-33-40.4620N,153220.4620N,072-17-25.0761W,260245.0761W,555.4,,,42-33-41.4392N,153221.4392N,072-17-25.0624W,260245.0624W,555.3,99,555.4,,,,,N,,,TREES,,B(V),20,50,1200,125R,19,181,,,BSC,G,42-34-29.8396N,153269.8396N,072-17-24.3848W,260244.3848W,533.8,,,42-34-21.9379N,153261.9379N,072-17-24.4955W,260244.4955W,538.2,800,551.9,,,,,N,,,TREES,,B(V),20,30,800,135R,3RD PARTY SURVEY,2010-05-06 00:00:00,25,,,,,,3RD PARTY SURVEY,2010-05-06 00:00:00,3RD PARTY SURVEY,2010-05-06 00:00:00,3RD PARTY SURVEY,2010-05-06 00:00:00,3RD PARTY SURVEY,2010-05-06 00:00:00,3RD PARTY SURVEY,2010-05-06 00:00:00,,,,,,,,,,,,,,,,3RD PARTY SURVEY,2010-05-06 00:00:00,3RD PARTY SURVEY,2010-05-06 00:00:00,3RD PARTY SURVEY,2010-05-06 00:00:00,3RD PARTY SURVEY,2010-05-06 00:00:00,3RD PARTY SURVEY,2010-05-06 00:00:00,,,,,,,,,,,,,
09187.*A,MA,14/32,4801,75,ASPH-G,,,MED,14,127,,N,NPI,G,42-34-33.4277N,153273.4277N,072-17-37.7867W,260257.7867W,533.2,,,,,,,,,540.7,,,,,N,,,TREES,,B(V),25,20,700,130R,32,307,,,NPI,G,42-34-04.8263N,153244.8263N,072-16-46.6170W,260206.6170W,551.4,,,42-34-12.5116N,153252.5116N,072-17-00.3641W,260220.3641W,545,1290,545.1,,,,,N,,,TREES,,B(V),34,20,900,125R,3RD PARTY SURVEY,2010-05-06 00:00:00,25,,,,,,3RD PARTY SURVEY,2010-05-06 00:00:00,3RD PARTY SURVEY,2010-05-06 00:00:00,,,,,3RD PARTY SURVEY,2010-05-06 00:00:00,,,,,,,,,,,,,,,,3RD PARTY SURVEY,2010-05-06 00:00:00,3RD PARTY SURVEY,2010-05-06 00:00:00,3RD PARTY SURVEY,2010-05-06 00:00:00,3RD PARTY SURVEY,2010-05-06 00:00:00,3RD PARTY SURVEY,2010-05-06 00:00:00,,,,,,,,,,,,,
09203.*A,MA,08/26,5791,100,ASPH-G,GRVD,43 /F/D/X/T,MED,08,64,,N,PIR,G,42-25-28.4465N,152728.4465N,073-18-00.8516W,263880.8516W,1188.4,,,,,,,,,1188.4,,,,,N,,,TREES,L,C,11,84,1124,434R,26,244,LOC/DME,Y,PIR,G,42-25-53.2822N,152753.2822N,073-16-51.3048W,263811.3048W,1132.1,50,3,,,,,,,1159.3,P4L,,,,Y,,,TREES,,D,20,38,950,466L,3RD PARTY SURVEY,2012-05-24 00:00:00,44,54,,,,,3RD PARTY SURVEY,2012-05-24 00:00:00,3RD PARTY SURVEY,2012-05-24 00:00:00,,,,,3RD PARTY SURVEY,2012-05-24 00:00:00,,,,,,,,,,,,,,,,3RD PARTY SURVEY,2012-05-24 00:00:00,3RD PARTY SURVEY,2012-05-24 00:00:00,,,,,3RD PARTY SURVEY,2012-05-24 00:00:00,,,,,,,,,,,,,
09203.*A,MA,14/32,3496,100,ASPH-G,,,MED,14,123,,N,BSC,G,42-25-46.4113N,152746.4113N,073-17-48.1778W,263868.1778W,1170.3,,,,,,,,,1170.3,,,,,N,,,TREES,,A(V),16,50,1000,125L,32,303,,Y,BSC,G,42-25-27.7098N,152727.7098N,073-17-09.0000W,263829.0000W,1141.8,,,,,,,,,1167.8,,,,,N,,,TREES,,A(V),20,20,600,120L,3RD PARTY SURVEY,2012-05-24 00:00:00,25,,,,,,3RD PARTY SURVEY,2012-05-24 00:00:00,3RD PARTY SURVEY,2012-05-24 00:00:00,,,,,3RD PARTY SURVEY,2012-05-24 00:00:00,,,,,,,,,,,,,,,,3RD PARTY SURVEY,2012-05-24 00:00:00,3RD PARTY SURVEY,2012-05-24 00:00:00,,,,,3RD PARTY SURVEY,2012-05-24 00:00:00,,,,,,,,,,,,,
09207.*A,MA,06/24,4350,75,ASPH-G,,,MED,06,40,ILS/DME,N,PIR,G,41-54-15.2480N,150855.2480N,070-44-11.4666W,254651.4666W,135.1,40,3,,,,,,,144.9,P4L,,,MALSF,,,,TREES,,PIR,50,30,1700,0B,24,220,,N,NPI,G,41-54-48.3805N,150888.3805N,070-43-34.8328W,254614.8328W,146.8,40,4,,,,,,,148.2,P4L,,,,Y,,,TREES,,B(V),20,65,1500,0B,3RD PARTY SURVEY,2016-09-08 00:00:00,25,,,,,,3RD PARTY SURVEY,2016-09-08 00:00:00,3RD PARTY SURVEY,2016-09-08 00:00:00,,,,,3RD PARTY SURVEY,2016-09-08 00:00:00,,,,,,,,,,,,,,,,3RD PARTY SURVEY,2016-09-08 00:00:00,3RD PARTY SURVEY,2016-09-08 00:00:00,,,,,3RD PARTY SURVEY,2016-09-08 00:00:00,,,,,,,,,,,,,
09207.*A,MA,15/33,4350,75,ASPH-G,,,MED,15,130,,N,NPI,G,41-54-43.9236N,150883.9236N,070-43-48.3432W,254628.3432W,145,,,,,,,,,146.9,,,,,,,,TREES,,A(V),20,27,750,125L,33,310,,N,NPI,G,41-54-16.5355N,150856.5355N,070-43-04.0186W,254584.0186W,133.1,40,3,,,,,,,142.4,P4L,,,,,,,TREE,,A(V),20,80,1800,125L,3RD PARTY SURVEY,2016-09-08 00:00:00,25,,,,,,3RD PARTY SURVEY,2016-09-08 00:00:00,3RD PARTY SURVEY,2016-09-08 00:00:00,,,,,3RD PARTY SURVEY,2016-09-08 00:00:00,,,,,,,,,,,,,,,,3RD PARTY SURVEY,2016-09-08 00:00:00,3RD PARTY SURVEY,2016-09-08 00:00:00,,,,,3RD PARTY SURVEY,2016-09-08 00:00:00,,,,,,,,,,,,,
09211.*A,MA,07/25,3502,100,ASPH-G,,,HIGH,07,59,ILS/DME,N,PIR,G,42-04-11.3870N,151451.3870N,070-13-34.6087W,252814.6087W,7.6,40,3,,,,,,,7.8,P4R,,,MALSF,N,,,BRUSH,,PIR,50,12,800,125L,25,239,,Y,PIR,G,42-04-29.0450N,151469.0450N,070-12-54.6840W,252774.6840W,7.8,40,3,,,,,,,7.8,P4L,,,,Y,,,TREES,,C,34,12,610,125L,NGS,2009-09-03 00:00:00,25,,,,,,NGS,2009-09-03 00:00:00,NGS,2009-09-03 00:00:00,,,,,AVN,2011-04-11 00:00:00,,,,,,,,,,,,,,,,NGS,2009-09-03 00:00:00,NGS,2009-09-03 00:00:00,,,,,AVN,2011-04-11 00:00:00,,,,,,,,,,,,,
09281.*A,MA,02/20,3501,75,ASPH-G,,,MED,02,8,,N,BSC,G,42-05-46.8699N,151546.8699N,072-02-23.0285W,259343.0285W,689,46,3,,,,,,,696.4,P2L,,,,Y,,,TREES,,C,34,23,1000,125R,20,188,,N,BSC,G,42-06-21.1226N,151581.1226N,072-02-16.5979W,259336.5979W,698.8,37,3.3,,,,,,,698.8,P2L,,,,Y,,,TREES,,B(V),34,52,2000,B,NGS,2007-08-31 00:00:00,28,,,,,,NGS,2007-08-31 00:00:00,NGS,2007-08-31 00:00:00,,,,,NGS,2007-08-31 00:00:00,,,,,,,,,,,,,,,,NGS,2007-08-31 00:00:00,NGS,2007-08-31 00:00:00,,,,,NGS,2007-08-31 00:00:00,,,,,,,,,,,,,
09301.*A,MA,01/19,1949,50,ASPH-F,,,LOW,01,,,,BSC,,42-17-16.3890N,152236.3890N,071-57-52.8480W,259072.8480W,1042.7,,,,,,,,,,,,,,,,,TREES,,A(V),20,56,1320,125L/R,19,,,N,BSC,,42-17-35.1364N,152255.1364N,071-57-52.9051W,259072.9051W,1042.4,,,,,,,,,,,,,,,,,TREES,,A(V),20,42,1050,125L/R,NGS,2002-09-11 00:00:00,,,,,,,NGS,2002-09-11 00:00:00,NGS,2002-09-11 00:00:00,,,,,,,,,,,,,,,,,,,,,,NGS,2002-09-11 00:00:00,NGS,2002-09-11 00:00:00,,,,,,,,,,,,,,,,,,,
09304.02*A,MA,05/23,11598,301,ASPH-G,,37 /F/A/W/T,HIGH,05,,ILS,Y,PIR,G,42-10-38.8680N,151838.8680N,072-32-52.8250W,261172.8250W,234.1,72,3,42-10-48.6870N,151848.6870N,072-32-43.8610W,261163.8610W,236,1202,237.5,P4L,T,N,ALSF1,,,N,,,PIR,50,,,,23,,ILS,N,PIR,G,42-12-13.6300N,151933.6300N,072-31-26.2390W,261086.2390W,241.1,64,3,,,,,,,241.2,P4L,T,N,ALSF1,N,,N,,,PIR,50,,,,MILITARY,2003-07-10 00:00:00,,,,,,,MILITARY,2015-01-12 00:00:00,MILITARY,2015-01-12 00:00:00,MILITARY,2003-07-10 00:00:00,MILITARY,2011-10-07 00:00:00,MILITARY,2014-12-17 00:00:00,,,,,,,,,,,,,,,,MILITARY,2015-01-12 00:00:00,MILITARY,2003-07-10 00:00:00,,,,,MILITARY,2003-07-10 00:00:00,,,,,,,,,,,,,
09304.02*A,MA,15/33,7082,150,ASPH-G,,21 /R/C/W/T,HIGH,15,,,N,NPI,G,42-12-23.1740N,151943.1740N,072-32-31.4360W,261151.4360W,240.9,77,3,,,,,,,241.1,P4L,,N,,N,,N,,,B(V),50,,,,33,,,Y,NPI,G,42-11-33.7090N,151893.7090N,072-31-24.8990W,261084.8990W,239.9,75,3,,,,,,,240.1,P4L,,N,,N,,N,,,B(V),50,,,,MILITARY,2003-08-07 00:00:00,,,,,,,AVN,2015-01-12 00:00:00,MILITARY,2015-01-12 00:00:00,,,,,MILITARY,2003-07-10 00:00:00,,,,,,,,,,,,,,,,AVN,2015-01-12 00:00:00,MILITARY,2015-01-12 00:00:00,,,,,MILITARY,2003-07-10 00:00:00,,,,,,,,,,,,,
09315.*A,MA,16/34,3086,40,ASPH-G,,,NSTD,16,,,,BSC,F,42-25-44.8581N,152744.8581N,071-47-47.5912W,258467.5912W,458.7,,,,,,,,150,,,,,,,,,TREES,,A(V),4,50,400,125R,34,,,N,BSC,F,42-25-21.6396N,152721.6396N,071-47-20.9349W,258440.9349W,449.4,,,42-25-25.4007N,152725.4007N,071-47-25.2524W,258445.2524W,451,500,,,,,,,,,TREE,,A(V),4,100,600,53R,NGS,2002-09-12 00:00:00,8,,,,,,NGS,2002-09-12 00:00:00,NGS,2002-09-12 00:00:00,,,,,,,,,,,,,,,,,,,,,,NGS,2002-09-12 00:00:00,NGS,2002-09-12 00:00:00,NGS,2002-09-12 00:00:00,NGS,2002-09-12 00:00:00,,,,,,,,,,,,,,,
09315.*A,MA,H1,50,50,ASPH-F,,,,H1,,,,BSC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09316.*A,MA,03/21,2770,48,ASPH-E,,,LOW,03,17,,N,BSC,G,42-27-27.0700N,152847.0700N,071-31-12.5500W,257472.5500W,267,,,,,,,,,268,,,,,,,,HILL,L,A(V),2,48,340,270L,21,197,,N,NPI,G,42-27-53.2900N,152873.2900N,071-31-01.9400W,257461.9400W,268,24,3.5,,,,,,,268,P2L,,,,Y,,,TREES,,A(NP),23,70,1850,125R,,,12.5,,,,,,AVN,2010-01-27 00:00:00,AVN,2010-01-27 00:00:00,,,,,AVN,2010-04-20 00:00:00,,,,,,,,,,,,,,,,AVN,2010-01-27 00:00:00,AVN,2010-01-27 00:00:00,,,,,AVN,2010-04-20 00:00:00,,,,,,,,,,,,,
09316.*A,MA,12/30,1600,70,TURF-GRVL-F,,,,12,106,,N,,,42-27-37.3100N,152857.3100N,071-31-09.1400W,257469.1400W,259,,,,,,,,,259,,,,,,,,TREES,,A(V),10,30,300,125,30,286,,N,,,42-27-32.8100N,152852.8100N,071-30-48.6800W,257448.6800W,254,,,,,,,,,259,,,,,,,,TREES,,A(V),8,50,400,125L,,,,,,,,,ADO,2014-06-10 00:00:00,ADO,2014-06-10 00:00:00,,,,,FAA,2014-08-01 00:00:00,,,,,,,,,,,,,,,,ADO,2014-06-10 00:00:00,ADO,2014-06-10 00:00:00,,,,,FAA,2014-08-01 00:00:00,,,,,,,,,,,,,
09336.*A,MA,04/22,1900,60,TURF-GRVL-F,,,,04,27,,N,,,41-52-31.5570N,150751.5570N,071-01-21.7240W,255681.7240W,27,,,,,,,,,27,,,,,,,,TREES,,A(V),12,60,800,125B,22,207,,N,,,41-52-48.3440N,150768.3440N,071-01-10.5040W,255670.5040W,27,,,,,,,,,27,,,,,,,,TREES,,A(V),12,85,1000,125L,OWNER,2003-01-14 00:00:00,,,,,,,NACO,2003-02-04 00:00:00,FAA-EST,2012-08-21 00:00:00,,,,,,,,,,,,,,,,,,,,,,NACO,2003-02-04 00:00:00,FAA-EST,2012-08-21 00:00:00,,,,,,,,,,,,,,,,,,,
09336.*A,MA,12/30,3500,75,ASPH-G,,,MED,12,108,,N,NPI,G,41-52-26.8885N,150746.8885N,071-01-11.3423W,255671.3423W,35,,,,,,,,,41,,,,,,,,TREES,,A(V),34,23,1000,135R,30,288,,N,NPI,G,41-52-16.3914N,150736.3914N,071-00-27.2727W,255627.2727W,41.3,45,3.6,,,,,,,41.5,V4L,,,,Y,,,TREES,,A(NP),20,40,1000,125L,,,21,,,,,,3RD PARTY SURVEY,2010-05-11 00:00:00,3RD PARTY SURVEY,2010-05-11 00:00:00,,,,,3RD PARTY SURVEY,2010-05-11 00:00:00,,,,,,,,,,,,,,,,3RD PARTY SURVEY,2010-05-11 00:00:00,3RD PARTY SURVEY,2010-05-11 00:00:00,,,,,3RD PARTY SURVEY,2010-05-11 00:00:00,,,,,,,,,,,,,
09362.*A,MA,06/24,5504,100,ASPH-F,GRVD,39 /F/C/X/T,HIGH,06,41,,N,PIR,G,41-23-11.9581N,148991.9581N,070-37-09.6025W,254229.6025W,53.7,50,3,,,,,,,58.3,P4R,R,,,Y,,,TREES,,PIR,34,14,700,350R,24,221,ILS/DME,Y,PIR,G,41-23-53.2384N,149033.2384N,070-36-22.5953W,254182.5953W,62.7,51,3,,,,,,,62.7,P4R,T,,MALSR,,,,,,PIR,50,,,,NGS,2003-10-08 00:00:00,65,108,185,,,,OWNER,2011-02-04 00:00:00,3RD PARTY SURVEY,2009-09-09 00:00:00,,,,,AVN,2011-04-11 00:00:00,5504,5504,5504,5504,,,,,,,,,,,,OWNER,2011-02-04 00:00:00,3RD PARTY SURVEY,2009-09-09 00:00:00,,,,,AVN,2011-04-11 00:00:00,5504,5504,5504,5504,,,,,,,,,
09362.*A,MA,15/33,3328,75,ASPH-G,,,MED,15,131,,N,NPI,G,41-23-53.1325N,149033.1325N,070-37-12.8822W,254232.8822W,66.9,,,,,,,,,66.9,,,,,,,,TREES,,C,34,40,1500,0B,33,311,,Y,NPI,G,41-23-31.7310N,149011.7310N,070-36-39.7436W,254199.7436W,56.9,,,,,,,,,66.2,,,,,Y,,,TREES,,C,34,52,2000,175R,3RD PARTY SURVEY,2010-03-30 00:00:00,31,45,61,,,,3RD PARTY SURVEY,2010-03-30 00:00:00,3RD PARTY SURVEY,2010-03-30 00:00:00,,,,,AVN,2011-04-11 00:00:00,3327,3327,3327,3327,,,,,,,,,,,,3RD PARTY SURVEY,2010-03-30 00:00:00,3RD PARTY SURVEY,2010-03-30 00:00:00,,,,,AVN,2011-04-11 00:00:00,3327,3327,3327,3327,,,,,,,,,
09398.*A,MA,02/20,9000,150,ASPH-E,GRVD,58 /R/B/W/T,HIGH,02,10,,N,PIR,G,42-08-43.0807N,151723.0807N,072-43-07.7517W,261787.7517W,260.4,50,3,,,,,,,263.9,P4L,,N,,N,N,N,TREES,,C,20,56,1325,300R,20,190,ILS,N,PIR,G,42-10-10.5755N,151810.5755N,072-42-46.5557W,261766.5557W,266.5,50,3,,,,,,,270,P4L,,N,MALSR,N,N,N,TREES,,PIR,33,83,2950,175R,3RD PARTY SURVEY,2011-10-15 00:00:00,75,160,240,,,,3RD PARTY SURVEY,2011-10-15 00:00:00,3RD PARTY SURVEY,2011-10-15 00:00:00,,,,,3RD PARTY SURVEY,2011-10-15 00:00:00,9000,9000,9000,9000,,,,,,,,,,,,3RD PARTY SURVEY,2011-10-15 00:00:00,3RD PARTY SURVEY,2011-10-15 00:00:00,,,,,3RD PARTY SURVEY,2011-10-15 00:00:00,9000,9000,8919,8919,,,,,,,,,
09398.*A,MA,15/33,5000,100,ASPH-F,NONE,58 /F/B/W/T,MED,15,140,,N,BSC,G,42-09-50.7851N,151790.7851N,072-43-18.3599W,261798.3599W,261.5,41,3.5,42-09-47.0645N,151787.0645N,072-43-14.1906W,261794.1906W,262.3,490,266.2,P4L,,N,,Y,N,N,TREES,,B(V),19,48,1150,35L,33,320,,N,BSC,G,42-09-12.8399N,151752.8399N,072-42-35.8716W,261755.8716W,246.9,40,3.5,,,,,,,265,P4R,,N,,N,N,N,TREES,,B(V),1,30,150,0B,3RD PARTY SURVEY,2011-10-15 00:00:00,51,60,155,,,,3RD PARTY SURVEY,2011-10-15 00:00:00,3RD PARTY SURVEY,2011-10-15 00:00:00,3RD PARTY SURVEY,2011-10-15 00:00:00,3RD PARTY SURVEY,2011-10-15 00:00:00,3RD PARTY SURVEY,2011-10-15 00:00:00,5000,5000,4508,4510,,,,,,,,,,,,3RD PARTY SURVEY,2011-10-15 00:00:00,3RD PARTY SURVEY,2011-10-15 00:00:00,,,,,3RD PARTY SURVEY,2011-10-15 00:00:00,5000,5000,5000,5000,,,,,,,,,
09462.*A,MA,11/29,7001,150,ASPH-E,GRVD,89 /F/C/W/T,HIGH,11,94,ILS/DME,N,PIR,G,42-16-02.3866N,152162.3866N,071-53-26.8657W,258806.8657W,980,55,3,,,,,,,980.1,P4R,TR,Y,ALSF2,N,Y,Y,HILL,,PIR,39,110,4500,0B,29,274,ILS/DME,N,PIR,G,42-15-57.7511N,152157.7511N,071-51-53.9652W,258713.9652W,987.9,54,3,,,,,,,990.4,P4L,TR,N,,Y,Y,N,,,PIR,50,,,,3RD PARTY SURVEY,2010-05-18 00:00:00,120,250,550,,,,3RD PARTY SURVEY,2010-05-18 00:00:00,3RD PARTY SURVEY,2010-05-18 00:00:00,,,,,3RD PARTY SURVEY,2010-05-18 00:00:00,7001,7001,7001,7001,,,,,,,,,,,,3RD PARTY SURVEY,2010-05-18 00:00:00,3RD PARTY SURVEY,2010-05-18 00:00:00,,,,,3RD PARTY SURVEY,2010-05-18 00:00:00,7001,7001,7001,7001,,,,,,,,,
09462.*A,MA,15/33,5000,100,ASPH-G,GRVD,35 /F/C/W/T,MED,15,138,,N,BSC,G,42-16-22.2435N,152182.2435N,071-52-43.1427W,258763.1427W,1008.9,42,3.6,,,,,,,1009,V4L,,N,,Y,N,N,ANT,,B(V),47,252,14000,10L,33,318,,N,NPI,G,42-15-45.6872N,152145.6872N,071-51-58.4327W,258718.4327W,997.9,40,3,,,,,,,998,P4L,,N,,Y,N,N,,,C,50,,,,3RD PARTY SURVEY,2010-05-18 00:00:00,85,120,210,,,,3RD PARTY SURVEY,2010-05-18 00:00:00,3RD PARTY SURVEY,2010-05-18 00:00:00,,,,,3RD PARTY SURVEY,2010-05-18 00:00:00,5000,5000,5000,5000,,,,,,,,,,,,3RD PARTY SURVEY,2010-05-18 00:00:00,3RD PARTY SURVEY,2010-05-18 00:00:00,,,,,3RD PARTY SURVEY,2010-05-18 00:00:00,5000,5000,5000,5000,,,,,,,,,
09501.*A,MI,05/23,5001,100,ASPH-F,,,HIGH,05,47,,N,NPI,F,41-51-41.7969N,150701.7969N,084-05-05.0121W,302705.0121W,793.8,32,3,,,,,,,798.2,P4L,,N,,Y,N,N,TREES,,D,27,62,1900,0B,23,227,,N,NPI,F,41-52-15.3367N,150735.3367N,084-04-16.4794W,302656.4794W,798,32,3,,,,,,,798.2,P4L,,N,,,N,N,TREES,,C,20,52,1280,590R,3RD PARTY SURVEY,2006-01-16 00:00:00,20,,,,,,3RD PARTY SURVEY,2006-01-16 00:00:00,3RD PARTY SURVEY,2006-01-16 00:00:00,,,,,3RD PARTY SURVEY,2006-01-16 00:00:00,,,,,,,,,,,,,,,,3RD PARTY SURVEY,2006-01-16 00:00:00,3RD PARTY SURVEY,2006-01-16 00:00:00,,,,,3RD PARTY SURVEY,2006-01-16 00:00:00,,,,,,,,,,,,,
09501.*A,MI,11/29,1810,150,TURF-G,,,,11,107,,N,,,41-52-20.2000N,150740.2000N,084-04-43.0000W,302683.0000W,798,,,,,,,,,,,,N,,N,N,N,TREES,,A(V),20,100,2000,0B,29,287,,N,,,41-52-15.0000N,150735.0000N,084-04-20.1000W,302660.1000W,797,,,,,,,,,,,,N,,N,N,N,TREES,,A(V),25,46,1150,0B,STATE,2005-11-16 00:00:00,,,,,,,STATE,2005-11-16 00:00:00,STATE,2004-08-17 00:00:00,,,,,,,,,,,,,,,,,,,,,,STATE,2005-11-16 00:00:00,AVN,2007-08-17 00:00:00,,,,,,,,,,,,,,,,,,,
09509.*A,MI,11/29,4300,75,ASPH-G,,,MED,11,98,,N,NPI,F,42-31-51.1113N,153111.1113N,085-49-49.9302W,308989.9302W,703.6,40,3,,,,,,,705.6,P4L,,N,,Y,N,N,TREES,,A(NP),20,54,1280,0B,29,278,,N,NPI,F,42-31-45.4355N,153105.4355N,085-48-53.0126W,308933.0126W,702.7,40,3,,,,,,,705.3,P4L,,N,,Y,N,N,TREES,,A(NP),20,60,1400,270R,3RD PARTY SURVEY,2008-08-28 00:00:00,18,,,,,,3RD PARTY SURVEY,2008-08-28 00:00:00,3RD PARTY SURVEY,2008-08-28 00:00:00,,,,,3RD PARTY SURVEY,2008-08-28 00:00:00,,,,,,,,,,,,,,,,3RD PARTY SURVEY,2008-08-28 00:00:00,3RD PARTY SURVEY,2008-08-28 00:00:00,,,,,3RD PARTY SURVEY,2008-08-28 00:00:00,,,,,,,,,,,,,
09509.*A,MI,15/33,1830,150,TURF-F,,,,15,140,,N,NONE,,42-31-59.6133N,153119.6133N,085-49-43.0615W,308983.0615W,700,,,42-31-55.5400N,153115.5400N,085-49-38.5800W,308978.5800W,,530,705.3,,,N,,N,N,N,TREES,,A(V),14,80,1150,0B,33,320,,N,NONE,,42-31-45.6300N,153105.6300N,085-49-27.5700W,308967.5700W,703.6,,,,,,,,,705.3,,,N,,N,N,N,TREES,,A(V),2,45,95,100L,STATE,2012-11-01 00:00:00,,,,,,,STATE,2012-11-01 00:00:00,3RD PARTY SURVEY,2008-08-28 00:00:00,STATE,2012-11-01 00:00:00,,,3RD PARTY SURVEY,2008-08-28 00:00:00,,,,,,,,,,,,,,,,STATE,2012-11-01 00:00:00,3RD PARTY SURVEY,2008-08-28 00:00:00,,,,,3RD PARTY SURVEY,2008-08-28 00:00:00,,,,,,,,,,,,,
09515.1*A,MI,09/27,5004,75,ASPH-G,GRVD,,MED,09,90,SDF,N,NPI,F,43-19-22.8794N,155962.8794N,084-41-45.7412W,304905.7412W,749.8,40,3,,,,,,,753,P4L,,,,Y,,,TREES,,C,25,84,2300,320L,27,270,,N,NPI,F,43-19-22.6648N,155962.6648N,084-40-38.0493W,304838.0493W,752.6,40,3,,,,,,,753,P4L,,,,Y,,,TREES,,C,20,60,1400,350R,STATE,2011-04-11 00:00:00,40,65,,,,,STATE,2011-04-11 00:00:00,STATE,2012-02-09 00:00:00,,,,,3RD PARTY SURVEY,2008-11-04 00:00:00,,,,,,,,,,,,,,,,3RD PARTY SURVEY,2008-11-04 00:00:00,3RD PARTY SURVEY,2008-11-04 00:00:00,,,,,3RD PARTY SURVEY,2008-11-04 00:00:00,,,,,,,,,,,,,
