Rank,RO,ST,Locid,City,Airport Name,S/L,Hub,CY 17 Enplanements,CY 16 Enplanements,% Change
370,NM,UT,CDC,Cedar City,Cedar City Regional,P,N,15588,14413,0.0815
371,NE,RI,BID,Block Island,Block Island State,P,N,15497,17225,-0.1003
372,GL,MN,HIB,Hibbing,Range Regional,P,N,15377,12654,0.2152
373,GL,MN,INL,International Falls,Falls International-Einarson Field,P,N,15278,13831,0.1046
375,WP,CA,CCR,Concord,Buchanan Field,P,N,14517,67,215.6716
377,CE,KS,SLN,Salina,Salina Regional,P,N,13850,3967,2.4913
378,AL,AK,WRG,Wrangell,Wrangell,P,N,13160,12569,0.047
379,NM,OR,OTH,North Bend,Southwest Oregon Regional,P,N,12971,14719,-0.1188
382,AL,AK,ANI,Aniak,Aniak,P,N,12735,13688,-0.0696
383,NE,ME,PQI,Presque Isle,Northern Maine Regional Airport at Presque Isle,P,N,12735,12526,0.0167
384,GL,OH,BKL,Cleveland,Burke Lakefront,P,N,12024,9917,0.2125
385,SO,MS,PIB,Moselle,Hattiesburg-Laurel Regional,P,N,11726,12367,-0.0518
386,AL,AK,KSM,St. Mary's (ANV/ANVSA),St Mary's,P,N,11528,12851,-0.1029
387,SO,MS,TUP,Tupelo,Tupelo Regional,P,N,11441,7539,0.5176
388,SO,FL,SGJ,Saint Augustine,Northeast Florida Regional,P,N,11431,28462,-0.5984
390,AL,AK,VDZ,Valdez,Valdez Pioneer Field,P,N,11321,12631,-0.1037
391,GL,MI,APN,Alpena,Alpena County Regional,P,N,11317,10031,0.1282
392,GL,SD,ATY,Watertown,Watertown Regional,P,N,11160,2117,4.2716
394,GL,IL,MWA,Marion,Veterans Airport of Southern Illinois,P,N,11029,10044,0.0981
395,NE,MA,BED,Bedford,Laurence G Hanscom Field,P,N,10956,15105,-0.2747
396,AL,AK,AKW,Klawock,Klawock,P,N,10923,10628,0.0278
397,GL,ND,JMS,Jamestown,Jamestown Regional,P,N,10917,11123,-0.0185
398,AL,AK,YAK,Yakutat,Yakutat,P,N,10886,10756,0.0121
399,NM,WY,SHR,Sheridan,Sheridan County,P,N,10876,9211,0.1808
401,NE,NH,LEB,Lebanon,Lebanon Municipal,P,N,10383,10245,0.0135
402,NM,WA,FHR,Friday Harbor,Friday Harbor,P,N,10359,12831,-0.1927
403,NM,UT,CNY,Moab,Canyonlands Field,P,N,10032,7837,0.2801
411,NM,MT,WYS,West Yellowstone,Yellowstone,P,N,8786,8525,0.0306
,,,"=SUBTOTAL(3,D136:D390)",,Nonhub Primary,,,,,"=SUBTOTAL(9,K390:K390)"
404,AL,AK,GAL,Galena,Edward G Pitka Sr,CS,None,9664,10532,-0.0824
405,NE,ME,BHB,Bar Harbor,Hancock County-Bar Harbor,CS,None,9509,10094,-0.058
406,CE,KS,HYS,Hays,Hays Regional,CS,None,9460,8265,0.1446
407,SO,FL,VRB,Vero Beach,Vero Beach Regional,CS,None,9110,4581,0.9886
408,CE,MO,TBN,Fort Leonard Wood (U.S. Army),Waynesville-St Robert Regional Forney Field,CS,None,9078,8108,0.1196
409,AL,AK,GST,Gustavus,Gustavus,CS,None,9061,11438,-0.2078
410,NE,MA,PVC,Provincetown,Provincetown Municipal,CS,None,8900,10074,-0.1165
413,NM,MT,SDY,Sidney,Sidney-Richland Regional,CS,None,8429,8065,0.0451
415,GL,IL,DEC,Decatur,Decatur,CS,None,8324,8453,-0.0153
416,WP,CA,MCE,Merced,Merced Regional/Macready Field,CS,None,8318,9426,-0.1175
417,NM,WY,RIW,Riverton,Riverton Regional,CS,None,8277,4228,0.9577
419,AL,AK,ENM,Emmonak,Emmonak,CS,None,8004,8072,-0.0084
421,NM,CO,CEZ,Cortez,Cortez Municipal,CS,None,7890,4564,0.7287
422,AL,AK,HNS,Haines,Haines,CS,None,7864,8936,-0.12
423,GL,ND,DVL,Devils Lake,Devils Lake Regional,CS,None,7767,8209,-0.0538
