Rank,RO,ST,Locid,City,Airport Name,S/L,Hub,CY2007 Enplanements,CY 2006 Enplanements,% Change
133.0,SW,TX,CRP,Corpus Christi,Corpus Christi International,P,S,422391.0,429394.0,-0.0163
134.0,WP,CA,SBA,Santa Barbara,Santa Barbara Municipal,P,S,415399.0,434753.0,-0.0445
135.0,SW,TX,MFE,McAllen,McAllen Miller International,P,S,413693.0,396157.0,0.0443
136.0,AL,AK,JNU,Juneau,Juneau International,P,S,403825.0,394929.0,0.0225
137.0,GL,IN,SBN,South Bend,South Bend Regional,P,S,398500.0,378909.0,0.0517
138.0,GL,SD,FSD,Sioux Falls,Joe Foss Field,P,S,392920.0,369760.0,0.0626
139.0,SO,NC,ILM,Wilmington,Wilmington International,P,S,392444.0,312600.0,0.2554
140.0,SO,FL,VPS,Valparaiso,Eglin AFB,P,S,381992.0,350484.0,0.0899
141.0,NM,OR,EUG,Eugene,Mahlon Sweet Field,P,N,379089.0,360877.0,0.0505
142.0,SO,FL,PIE,Clearwater,St Petersburg-Clearwater International,P,N,372283.0,200972.0,0.8524
143.0,WP,AZ,GCN,Grand Canyon,Grand Canyon National Park,P,N,354624.0,388644.0,-0.0875
144.0,EA,VA,ROA,Roanoke,Roanoke Regional/Woodrum Field,P,N,348634.0,326214.0,0.0687
145.0,NE,ME,BGR,Bangor,Bangor International,P,N,346688.0,411352.0,-0.1572
146.0,SO,FL,DAB,Daytona Beach,Daytona Beach International,P,N,340328.0,262503.0,0.2965
147.0,NM,MT,BZN,Bozeman,Gallatin Field,P,N,335642.0,318115.0,0.0551
148.0,NM,OR,MFR,Medford,Rogue Valley International - Medford,P,N,311246.0,289083.0,0.0767
149.0,SW,LA,SHV,Shreveport,Shreveport Regional,P,N,307312.0,306832.0,0.0016
150.0,SO,AL,MOB,Mobile,Mobile Regional,P,N,303512.0,296264.0,0.0245
151.0,SO,TN,CHA,Chattanooga,Lovell Field,P,N,301803.0,246893.0,0.2224
152.0,GL,ND,FAR,Fargo,Hector International,P,N,300848.0,307947.0,-0.0231
153.0,SO,NC,AVL,Asheville,Asheville Regional,P,N,292053.0,289550.0,0.0086
