Rank,Locid,Airport Name,City,ST,Region,Service   Level,Hub   Type,2001       Boardings
186.0,CHO,Charlottesville-Albemarle,Charlottesville,VA,EA,P,N,155863.0
187.0,RDM,Roberts Field,Redmond,OR,NM,P,N,144424.0
188.0,RST,Rochester International,Rochester,MN,GL,P,N,143446.0
189.0,SBP,San Luis Obispo County-Mc Chesney Field,San Luis Obispo,CA,WP,P,N,138884.0
190.0,DLH,Duluth International,Duluth,MN,GL,P,N,132682.0
191.0,BET,Bethel,Bethel,AK,AL,P,N,132665.0
192.0,GTF,Great Falls International,Great Falls,MT,NM,P,N,132421.0
193.0,BIS,Bismarck Municipal,Bismarck,ND,GL,P,N,131557.0
194.0,FAY,Fayetteville Regional/Grannis Field,Fayetteville,NC,SO,P,N,131286.0
195.0,CWA,Central Wisconsin,Mosinee,WI,GL,P,N,130444.0
196.0,ERI,Erie International,Erie,PA,EA,P,N,127900.0
197.0,BFL,Meadows Field,Bakersfield,CA,WP,P,N,127006.0
198.0,AEX,Alexandria International,Alexandria,LA,SW,P,N,122638.0
199.0,GNV,Gainesville Regional,Gainesville,FL,SO,P,N,119995.0
200.0,IDA,Fanning Field,Idaho Falls,ID,NM,P,N,118090.0
201.0,GJT,Walker Field,Grand Junction,CO,NM,P,N,116472.0
202.0,UNV,University Park,State College,PA,EA,P,N,116113.0
203.0,BGM,Binghamton Regional/Edwin A Link Field,Binghamton,NY,EA,P,N,114907.0
204.0,CMI,University of Illinois-Willard,Champaign/Urbana,IL,GL,P,N,113860.0
205.0,LSE,La Crosse Municipal,La Crosse,WI,GL,P,N,108455.0
206.0,ENA,Kenai Municipal,Kenai,AK,AL,P,N,106673.0
207.0,ELM,Elmira/Corning Regional,Elmira/Corning,NY,EA,P,N,104717.0
208.0,KTN,Ketchikan International,Ketchikan,AK,AL,P,N,102634.0
209.0,MKK,Molokai,Kaunakakai,HI,WP,P,N,101884.0
210.0,HDN,Yampa Valley,Hayden,CO,NM,P,N,100725.0
211.0,ACV,Arcata,Arcata/Eureka,CA,WP,P,N,97840.0
212.0,ILE,Killeen Municipal,Killeen,TX,SW,P,N,96632.0
213.0,MLU,Monroe Regional,Monroe,LA,SW,P,N,96503.0
214.0,BLI,Bellingham International,Bellingham,WA,NM,P,N,93643.0
215.0,DRO,Durango-La Plata County,Durango,CO,NM,P,N,91405.0
216.0,FSM,Fort Smith Regional,Fort Smith,AR,SW,P,N,90311.0
217.0,SUX,Sioux Gateway/Col. Bud Day Field,Sioux City,IA,CE,P,N,89709.0
218.0,ITH,Tompkins County,Ithaca,NY,EA,P,N,88299.0
220.0,PPG,Pago Pago International,Pago Pago,AS,WP,P,N,83942.0
221.0,CLL,Easterwood Field,College Station,TX,SW,P,N,83214.0
222.0,EKO,Elko Regional,Elko,NV,WP,P,N,81482.0
223.0,HXD,Hilton Head,Hilton Head Island,SC,SO,P,N,80418.0
224.0,ORH,Worcester Regional,Worcester,MA,NE,P,N,79653.0
225.0,HLN,Helena Regional,Helena,MT,NM,P,N,77960.0
226.0,EWN,Craven County Regional,New Bern,NC,SO,P,N,77726.0
227.0,CSG,Columbus Metropolitan,Columbus,GA,SO,P,N,77304.0
228.0,LRD,Laredo International,Laredo,TX,SW,P,N,75610.0
229.0,IFP,Laughlin/Bullhead International,Bullhead City,AZ,WP,P,N,75019.0
230.0,BPT,Southeast Texas Regional,Beaumont/Port Arthur,TX,SW,P,N,73881.0
231.0,YKM,Yakima Air Terminal/McAllister Field,Yakima,WA,NM,P,N,73443.0
232.0,CRQ,Mc Clellan-Palomar,Carlsbad,CA,WP,P,N,73173.0
233.0,SPI,Capital,Springfield,IL,GL,P,N,73152.0
234.0,SIT,Sitka Rocky Gutierrez,Sitka,AK,AL,P,N,72912.0
235.0,BRO,Brownsville/South Padre Island International,Brownsville,TX,SW,P,N,71647.0
236.0,GFK,Grand Forks International,Grand Forks,ND,GL,P,N,71600.0
237.0,BED,Laurence G Hanscom Field,Bedford,MA,NE,P,N,71381.0
238.0,MOT,Minot International,Minot,ND,GL,P,N,70303.0
239.0,MTJ,Montrose Regional,Montrose,CO,NM,P,N,68754.0
240.0,LNY,Lanai,Lanai City,HI,WP,P,N,67800.0
241.0,RDD,Redding Municipal,Redding,CA,WP,P,N,66621.0
242.0,1G4,Grand Canyon West,Peach Springs,AZ,WP,P,N,65625.0
243.0,MVY,Marthas Vineyard,Vineyard Haven,MA,NE,P,N,65374.0
244.0,LYH,Lynchburg Regional/Preston Glenn Field,Lynchburg,VA,EA,P,N,65120.0
245.0,ACT,Waco Regional,Waco,TX,SW,P,N,62954.0
246.0,ADQ,Kodiak,Kodiak,AK,AL,P,N,62768.0
247.0,LWS,Lewiston-Nez Perce County,Lewiston,ID,NM,P,N,62394.0
248.0,CPR,Natrona County International,Casper,WY,NM,P,N,61682.0
249.0,SBY,Salisbury-Ocean City Wicomico Regional,Salisbury,MD,EA,P,N,61310.0
250.0,TYR,Tyler Pounds Field,Tyler,TX,SW,P,N,61156.0
251.0,SUN,Friedman Memorial,Hailey,ID,NM,P,N,60589.0
252.0,TTN,Trenton Mercer,Trenton,NJ,EA,P,N,58809.0
253.0,ABI,Abilene Regional,Abilene,TX,SW,P,N,58206.0
254.0,OTZ,Ralph Wien Memorial,Kotzebue,AK,AL,P,N,57841.0
256.0,SAW,Sawyer International,Gwinn,MI,GL,P,N,55949.0
257.0,OME,Nome,Nome,AK,AL,P,N,55922.0
258.0,DBQ,Dubuque Regional,Dubuque,IA,CE,P,N,55583.0
259.0,DHN,Dothan Regional,Dothan,AL,SO,P,N,55064.0
260.0,ALO,Waterloo Municipal,Waterloo,IA,CE,P,N,51366.0
261.0,YUM,Yuma MCAS/Yuma International,Yuma,AZ,WP,P,N,51257.0
262.0,LAW,Lawton-Fort Sill Regional,Lawton,OK,SW,P,N,50310.0
264.0,HTS,Tri-State/Milton J. Ferguson Field,Huntington,WV,EA,P,N,48659.0
265.0,EAT,Pangborn Memorial,Wenatchee,WA,NM,P,N,47800.0
266.0,SPS,Sheppard AFB/Wichita Falls Municipal,Wichita Falls,TX,SW,P,N,47723.0
267.0,FMN,Four Corners Regional,Farmington,NM,SW,P,N,46814.0
269.0,LCH,Lake Charles Regional,Lake Charles,LA,SW,P,N,46413.0
270.0,SJT,San Angelo Regional/Mathis Field,San Angelo,TX,SW,P,N,45307.0
271.0,PIH,Pocatello Regional,Pocatello,ID,NM,P,N,45160.0
273.0,FLO,Florence Regional,Florence,SC,SO,P,N,44477.0
274.0,AKN,King Salmon,King Salmon,AK,AL,P,N,44335.0
275.0,BTM,Bert Mooney,Butte,MT,NM,P,N,44328.0
276.0,GUC,Gunnison County,Gunnison,CO,NM,P,N,44237.0
