Rank,RO,ST,Locid,City,Airport Name,S/L,Hub,CY2007 Enplanements,CY 2006 Enplanements,% Change
1006.0,SW,TX,FST,Fort Stockton,Fort Stockton-Pecos County,GA,None,77.0,34.0,1.2647
1053.0,SW,TX,PSX,Palacios,Palacios Municipal,GA,None,55.0,0.0,0.0
1064.0,SW,TX,DTO,Denton,Denton Municipal,GA,None,52.0,60.0,-0.1333
1090.0,SW,TX,DWH,Houston,David Wayne Hooks Memorial,GA,None,43.0,122.0,-0.6475
1163.0,SW,TX,SNK,Snyder,Winston Field,GA,None,33.0,9.0,2.6667
1165.0,SW,TX,CXO,Conroe,Lone Star Executive,GA,None,32.0,11.0,1.9091
1184.0,SW,TX,OZA,Ozona,Ozona Municipal,GA,None,30.0,38.0,-0.2105
1207.0,SW,TX,ODO,Odessa,Odessa-Schlemeyer Field,GA,None,27.0,15.0,0.8
1243.0,SW,TX,GKY,Arlington,Arlington Municipal,GA,None,23.0,45.0,-0.4889
1250.0,SW,TX,ERV,Kerrville,Kerrville Municipal/Louis Schreiner Field,GA,None,22.0,40.0,-0.45
1266.0,SW,TX,TKI,McKinney,Collin County Regional at McKinney,GA,None,21.0,69.0,-0.6957
1267.0,SW,TX,49F,Rankin,Rankin,GA,None,20.0,6.0,2.3333
1278.0,SW,TX,HYI,San Marcos,San Marcos Municipal,GA,None,20.0,6.0,2.3333
1304.0,SW,TX,PEQ,Pecos,Pecos Municipal,GA,None,18.0,28.0,-0.3571
1319.0,SW,TX,RBD,Dallas,Dallas Executive,GA,None,17.0,14.0,0.2143
1335.0,SW,TX,MDD,Midland,Midland Airpark,GA,None,16.0,157.0,-0.8981
1381.0,SW,TX,GTU,Georgetown,Georgetown Municipal,GA,None,14.0,62.0,-0.7742
1388.0,SW,TX,MWL,Mineral Wells,Mineral Wells,GA,None,14.0,11.0,0.2727
1426.0,SW,TX,BGD,Borger,Hutchinson County,GA,None,12.0,0.0,0.0
1452.0,SW,TX,GYI,Sherman/Denison,Grayson County,GA,None,11.0,23.0,-0.5217
1482.0,SW,TX,COT,Cotulla,Cotulla-La Salle County,GA,None,10.0,74.0,-0.8649
1483.0,SW,TX,CPT,Cleburne,Cleburne Municipal,GA,None,10.0,5.0,1.0
1493.0,SW,TX,LVJ,Houston,Pearland Regional,GA,None,10.0,0.0,0.0
1496.0,SW,TX,MRF,Marfa,Marfa Municipal,GA,None,10.0,4.0,1.5
1526.0,SW,TX,MNZ,Hamilton,Hamilton Municipal,GA,None,9.0,18.0,-0.5
1542.0,SW,TX,AXH,Houston,Houston-Southwest,GA,None,8.0,0.0,0.0
1557.0,SW,TX,E11,Andrews,Andrews County,GA,None,8.0,0.0,0.0
1559.0,SW,TX,HPY,Baytown,Baytown,GA,None,8.0,0.0,0.0
1577.0,SW,TX,UVA,Uvalde,Garner Field,GA,None,8.0,86.0,-0.907
1578.0,SW,TX,VHN,Van Horn,Culberson County,GA,None,8.0,10.0,-0.2
1587.0,SW,TX,BKS,Falfurrias,Brooks County,GA,None,7.0,10.0,-0.3
1605.0,SW,TX,PIL,Port Isabel,Port Isabel-Cameron County,GA,None,7.0,6.0,0.1667
1629.0,SW,TX,4XS7,Austin,Horseshoe Bay Airpark,GA,None,6.0,53.0,-0.8868
1637.0,SW,TX,BPG,Big Spring,Big Spring McMahon-Wrinkle,GA,None,6.0,11.0,-0.4545
1640.0,SW,TX,CDS,Childress,Childress Municipal,GA,None,6.0,12.0,-0.5
1644.0,SW,TX,DHT,Dalhart,Dalhart Municipal,GA,None,6.0,1.0,5.0
1656.0,SW,TX,HQZ,Mesquite,Mesquite Metro,GA,None,6.0,0.0,0.0
1661.0,SW,TX,JWY,Midlothian/Waxahachie,Mid-Way Regional,GA,None,6.0,0.0,0.0
1662.0,SW,TX,JXI,Gilmer,Fox Stephens Field - Gilmer Municipal,GA,None,6.0,0.0,0.0
1677.0,SW,TX,PPA,Pampa,Perry Lefors Field,GA,None,6.0,13.0,-0.5385
1679.0,SW,TX,PVW,Plainview,Hale County,GA,None,6.0,0.0,0.0
1696.0,SW,TX,BPC,Pampa,Mesa Vista Ranch,GA,None,5.0,0.0,0.0
1698.0,SW,TX,BWD,Brownwood,Brownwood Regional,GA,None,5.0,8.0,-0.375
1719.0,SW,TX,ILE,Killeen,Skylark Field,GA,None,5.0,10.0,-0.5
1760.0,SW,TX,ASL,Marshall,Harrison County,GA,None,4.0,11.0,-0.6364
1776.0,SW,TX,CWC,Wichita Falls,Kickapoo Downtown,GA,None,4.0,9.0,-0.5556
1787.0,SW,TX,GLE,Gainesville,Gainesville Municipal,GA,None,4.0,1.0,3.0
1789.0,SW,TX,GVT,Greenville,Majors,GA,None,4.0,0.0,0.0
1813.0,SW,TX,PKV,Port Lavaca,Calhoun County,GA,None,4.0,0.0,0.0
1814.0,SW,TX,PWG,Waco,McGregor Executive,GA,None,4.0,0.0,0.0
1824.0,SW,TX,SSF,San Antonio,Stinson Municipal,GA,None,4.0,0.0,0.0
1826.0,SW,TX,T41,La Porte,La Porte Municipal,GA,None,4.0,0.0,0.0
1827.0,SW,TX,T90,Winnie-Stowell (CCD),Chambers County-Winnie Stowell,GA,None,4.0,8.0,-0.5
1858.0,SW,TX,FWS,Fort Worth,Fort Worth Spinks,GA,None,3.0,4.0,-0.25
1861.0,SW,TX,HRX,Hereford,Hereford Municipal,GA,None,3.0,0.0,0.0
1869.0,SW,TX,LUD,Decatur,Decatur Municipal,GA,None,3.0,0.0,0.0
1879.0,SW,TX,PRX,Paris,Cox Field,GA,None,3.0,9.0,-0.6667
1884.0,SW,TX,SEP,Stephenville,Clark Field Municipal,GA,None,3.0,5.0,-0.4
1889.0,SW,TX,TPL,Temple,Draughon-Miller Central Texas Regional,GA,None,3.0,12.0,-0.75
1903.0,SW,TX,2TA8,Encino,El Coyote Ranch,GA,None,2.0,2.0,0.0
1926.0,SW,TX,CNW,Waco,TSTC Waco,GA,None,2.0,0.0,0.0
1943.0,SW,TX,HBV,Hebbronville,Jim Hogg County,GA,None,2.0,56.0,-0.9643
1954.0,SW,TX,JCT,Junction,Kimble County,GA,None,2.0,40.0,-0.95
1962.0,SW,TX,LFK,Lufkin,Angelina County,GA,None,2.0,0.0,0.0
1993.0,SW,TX,SLR,Sulphur Springs,Sulphur Springs Municipal,GA,None,2.0,3.0,-0.3333
1996.0,SW,TX,TFP,Ingleside,T P McCampbell,GA,None,2.0,0.0,0.0
2019.0,SW,TX,7T3,Berclair,Goliad County Industrial Airpark,GA,None,1.0,0.0,0.0
2020.0,SW,TX,89TE,Lajitas,Lajitas International,GA,None,1.0,31.0,-0.9677
2027.0,SW,TX,BAZ,New Braunfels,New Braunfels Municipal,GA,None,1.0,0.0,0.0
2040.0,SW,TX,F17,Center,Center Municipal,GA,None,1.0,2.0,-0.5
2046.0,SW,TX,GDJ,Granbury,Granbury Regional,GA,None,1.0,0.0,0.0
2068.0,SW,TX,ORG,Orange,Orange County,GA,None,1.0,0.0,0.0
2075.0,SW,TX,PSN,Palestine,Palestine Municipal,GA,None,1.0,7.0,-0.8571
2076.0,SW,TX,PYX,Perryton,Perryton Ochiltree County,GA,None,1.0,0.0,0.0
2085.0,SW,TX,T82,Fredericksburg,Gillespie County,GA,None,1.0,32.0,-0.9688
966.0,WP,UM,MDY,Sand Island,Henderson Field,GA,None,102.0,0.0,0.0
23.0,NM,UT,SLC,Salt Lake City,Salt Lake City International,P,L,10560906.0,10289129.0,0.0264
260.0,NM,UT,SGU,St. George,St George Municipal,P,N,53773.0,53993.0,-0.0041
269.0,NM,UT,ENV,Wendover,Wendover,GA,None,46883.0,45519.0,0.03
443.0,NM,UT,CDC,Cedar City,Cedar City Regional,CS,None,6903.0,8312.0,-0.1695
537.0,NM,UT,VEL,Vernal,Vernal Regional,CS,None,3170.0,2252.0,0.4076
555.0,NM,UT,CNY,Moab,Canyonlands Field,CS,None,2843.0,3586.0,-0.2072
655.0,NM,UT,HIF,Ogden,Hill AFB,GA,None,1497.0,923.0,0.6219
757.0,NM,UT,PVU,Provo,Provo Municipal,GA,None,595.0,1070.0,-0.4439
772.0,NM,UT,KNB,Kanab,Kanab Municipal,GA,None,517.0,226.0,1.2876
794.0,NM,UT,U42,Salt Lake City,Salt Lake City Municipal 2,GA,None,424.0,1.0,423.0
865.0,NM,UT,UT03,Hanksville,Hite,GA,None,212.0,1382.0,-0.8466
931.0,NM,UT,U34,Green River,Green River Municipal,GA,None,125.0,343.0,-0.6356
974.0,NM,UT,PUC,Price,Carbon County Regional/Buck Davis Field,GA,None,99.0,9.0,10.0
1087.0,NM,UT,36U,Heber City,Heber City Municipal - Russ McDonald Field,GA,None,43.0,70.0,-0.3857
1124.0,NM,UT,U55,Panguitch,Panguitch Municipal,GA,None,39.0,48.0,-0.1875
1156.0,NM,UT,UT25,Monument Valley,Monument Valley,GA,None,34.0,5788.0,-0.9941
1209.0,NM,UT,74V,Roosevelt,Roosevelt Municipal,GA,None,26.0,3.0,7.6667
1256.0,NM,UT,RIF,Richfield,Richfield Municipal,GA,None,22.0,10.0,1.2
1257.0,NM,UT,U52,Beaver,Beaver Municipal,GA,None,22.0,36.0,-0.3889
1353.0,NM,UT,HVE,Hanksville,Hanksville,GA,None,15.0,7.0,1.1429
1436.0,NM,UT,OGD,Ogden,Ogden-Hinckley,GA,None,12.0,153.0,-0.9216
1900.0,NM,UT,1L9,Parowan,Parowan,GA,None,2.0,0.0,0.0
2028.0,NM,UT,BDG,Blanding,Blanding Municipal,GA,None,1.0,3.0,-0.6667
2059.0,NM,UT,MLF,Milford,Milford Municipal/Ben and Judy Briscoe Field,GA,None,1.0,0.0,0.0
21.0,EA,VA,IAD,Dulles International Airport,Washington Dulles International,P,L,11789441.0,11045217.0,0.0674
29.0,EA,VA,DCA,Arlington,Ronald Reagan Washington National,P,L,9038174.0,8973410.0,0.0072
68.0,EA,VA,ORF,Norfolk,Norfolk International,P,S,1867307.0,1862325.0,0.0027
70.0,EA,VA,RIC,Highland Springs,Richmond International,P,S,1805992.0,1644419.0,0.0983
118.0,EA,VA,PHF,Newport News,Newport News/Williamsburg International,P,S,513381.0,513367.0,0.0
144.0,EA,VA,ROA,Roanoke,Roanoke Regional/Woodrum Field,P,N,348634.0,326214.0,0.0687
