CY 02 Rank,RO,State,Locid,Airport Name,City,Svc Lvl,Hub,CY 2002 Boardings,CY 2001 Boardings,% Change
1100.0,GL,IN,MIE,Delaware County - Johnson Field,Muncie,GA,None,48.0,496.0,-0.9032
1101.0,CE,IA,DVN,Davenport Municipal,Davenport,GA,None,47.0,29.0,0.6207
1102.0,SO,GA,FTY,Fulton County  - Brown Field,Atlanta,GA,None,47.0,157.0,-0.7006
1103.0,SW,OK,RVS,Richard Lloyd Jones Jr,Tulsa,GA,None,47.0,36.0,0.3056
1106.0,AL,AK,CYM,Chatham,Chatham,GA,None,46.0,47.0,-0.0213
1104.0,GL,OH,CGF,Cuyahoga County,Cleveland,GA,None,46.0,72.0,-0.3611
1105.0,WP,CA,CNO,Chino,Chino,GA,None,46.0,0.0,0.0
1108.0,AL,AK,KXA,Kasaan,Kasaan,GA,None,45.0,85.0,-0.4706
1109.0,SO,SC,UZA,"Rock Hill / York County / 
Bryant Field",Rock Hill,GA,None,45.0,24.0,0.875
1107.0,WP,AZ,0V7,Kayenta,Kayenta,GA,None,45.0,72.0,-0.375
1110.0,NM,WA,OLM,Olympia,Olympia,GA,None,44.0,48.0,-0.0833
1111.0,WP,CA,TVL,Lake Tahoe,South Lake Tahoe,GA,None,44.0,336.0,-0.869
1112.0,EA,PA,CXY,Capital City,New Cumberland,GA,None,43.0,1096.0,-0.9608
1115.0,EA,PA,N99,Brandywine,West Chester,GA,None,43.0,200.0,-0.785
1114.0,NM,UT,KNB,Kanab Municipal,Kanab,GA,None,43.0,0.0,0.0
1113.0,WP,CA,FCH,Fresno - Chandler Downtown,Fresno,GA,None,43.0,65.0,-0.3385
1119.0,AL,AK,CEM,Central,Central,GA,None,42.0,22.0,0.9091
1123.0,EA,PA,THV,York,York,GA,None,42.0,6.0,6.0
1121.0,GL,MN,ROX,"Roseau Municipal / 
Rudy Billberg Field",Roseau,GA,None,42.0,0.0,0.0
1122.0,GL,IL,SQI,"Whiteside County - 
Jos H Bittorf Field",Sterling / Rockfalls,GA,None,42.0,52.0,-0.1923
1118.0,NE,MA,7B2,Northampton,Northampton,GA,None,42.0,0.0,0.0
1116.0,NM,WA,0S9,Jefferson County International,Port Townsend,GA,None,42.0,552.0,-0.9239
1120.0,NM,WY,PNA,Ralph Wenz Field,Pinedale,GA,None,42.0,107.0,-0.6075
1117.0,SO,AL,4R4,H. L. (Sonny) Callahan,Fairhope,GA,None,42.0,5.0,7.4
1124.0,GL,MI,6D6,Greenville Municipal,Greenville,GA,None,41.0,1.0,40.0
1125.0,NE,MA,FIT,Fitchburg Municipal,Fitchburg,GA,None,41.0,3.0,12.666
1126.0,SO,NC,MQI,Dare County Regional,Manteo,GA,None,41.0,33.0,0.2424
1127.0,EA,NY,06N,Randall,Middletown,GA,None,40.0,0.0,0.0
1128.0,GL,ND,46D,Carrington Municipal,Carrington,GA,None,40.0,0.0,0.0
1129.0,NM,OR,9S9,Lexington,Lexington,GA,None,40.0,1.0,39.0
1130.0,NM,WA,ELN,Bowers Field,Ellensburg,GA,None,40.0,45.0,-0.1111
1131.0,AL,AK,CZF,Cape Romanzof LRRS,Cape Romanzof,GA,None,39.0,75.0,-0.48
1132.0,EA,VA,DAN,Danville Regional,Danville,GA,None,39.0,21.0,0.8571
1134.0,GL,IN,UMP,Indianapolis Metropolitan,Indianapolis,GA,None,39.0,25.0,0.56
1133.0,SO,GA,GVL,Lee Gilmer Memorial,Gainesville,GA,None,39.0,0.0,0.0
1135.0,AL,AK,ALZ,Alitak,Lazy Bay,GA,None,38.0,195.0,-0.8051
1142.0,AL,AK,WCR,Chandalar Lake,Chandalar Lake,GA,None,38.0,102.0,-0.6275
1138.0,NE,ME,IWI,Wiscasset,Wiscasset,GA,None,38.0,87.0,-0.5632
1136.0,NM,WA,AWO,Arlington Municipal,Arlington,GA,None,38.0,15.0,1.5333
1141.0,SW,TX,RPH,Graham Municipal,Graham,GA,None,38.0,10.0,2.8
1137.0,WP,CA,EKA,Murray Field,Eureka,GA,None,38.0,8.0,3.75
1139.0,WP,CA,LVK,Livermore Municipal,Livermore,GA,None,38.0,70.0,-0.4571
1140.0,WP,CA,O89,Fall River Mills,Fall River Mills,GA,None,38.0,48.0,-0.2083
1146.0,GL,OH,RZT,Ross County,Chillicothe,GA,None,37.0,71.0,-0.4789
1147.0,GL,WI,STE,Stevens Point Municipal,Stevens Point,GA,None,37.0,39.0,-0.0513
1143.0,NM,OR,4S1,Gold Beach Municipal,Gold Beach,GA,None,37.0,17.0,1.1765
1144.0,SW,TX,DTO,Denton Municipal,Denton,GA,None,37.0,17.0,1.1765
1145.0,WP,CA,RBL,Red Bluff Municipal,Red Bluff,GA,None,37.0,3.0,11.333
1149.0,GL,OH,AXV,Neil Armstrong,Wapakoneta,GA,None,36.0,11.0,2.2727
1150.0,GL,SD,MKA,Miller Municipal,Miller,GA,None,36.0,0.0,0.0
1151.0,NE,ME,WVL,Waterville Robert Lafleur,Waterville,GA,None,36.0,2.0,17.0
1148.0,NM,WY,AFO,Afton Municipal,Afton,GA,None,36.0,20.0,0.8
1155.0,AL,AK,AK13,Chena Hot Springs,Chena Hot Springs,GA,None,35.0,0.0,0.0
1157.0,EA,VA,FCI,Chesterfield County,Richmond,GA,None,35.0,9.0,2.8889
1158.0,EA,PA,UCP,New Castle Municipal,New Castle,GA,None,35.0,469.0,-0.9254
1152.0,GL,OH,1G5,Medina Municipal,Medina,GA,None,35.0,20.0,0.75
1154.0,GL,SD,9V9,Chamberlain Municipal,Chamberlain,GA,None,35.0,6.0,4.8333
1156.0,GL,IN,EYE,Eagle Creek Airpark,Indianapolis,GA,None,35.0,19.0,0.8421
1153.0,NM,WY,7V6,Camp Guernsey,Guernsey,GA,None,35.0,21.0,0.6667
