Rank,FAA Region,ST,Locid,City,Airport Name,Arpt Category,Hub,CY 12 Enplanements,CY 11 Enplanements,% Change
1204,EA,PA,P72,Philadelphia,Penn's Landing,GA,None,12,0,0
1378,EA,PA,OQN,West Chester,Brandywine,GA,None,5,4,0.25
1423,EA,PA,MPO,Mount Pocono,Pocono Mountains Municipal,GA,None,4,0,0
1464,EA,PA,FWQ,West Newton,Rostraver,GA,None,3,0,0
1474,EA,PA,N94,Carlisle,Carlisle,GA,None,3,4,-0.25
1517,EA,PA,CKZ,Perkasie,Pennridge,GA,None,2,32,-0.9375
1535,EA,PA,HMZ,Bedford,Bedford County,GA,None,2,0,0
42,SO,PR,SJU,San Juan,Luis Munoz Marin International,P,M,4204478,3983130,0.0556
175,SO,PR,BQN,Aguadilla,Rafael Hernandez,P,N,215448,230556,-0.0655
227,SO,PR,PSE,Ponce,Mercedita,P,N,95787,95658,0.0013
264,SO,PR,VQS,Vieques,Antonio Rivera Rodriguez,P,N,56266,55647,0.0111
311,SO,PR,RVR,Ceiba,Jose Aponte De La Torre,P,N,28673,28165,0.018
340,SO,PR,SIG,San Juan,Fernando Luis Ribas Dominicci,P,N,18901,20353,-0.0713
423,SO,PR,CPX,Culebra,Benjamin Rivera Noriega,CS,None,9455,8979,0.053
460,SO,PR,MAZ,Mayaguez,Eugenio Maria De Hostos,CS,None,5856,4961,0.1804
63,NE,RI,PVD,Warwick,Theodore Francis Green State,P,S,1809322,1920699,-0.058
399,NE,RI,BID,Block Island,Block Island State,P,N,10841,10164,0.0666
414,NE,RI,WST,Westerly,Westerly State,P,N,10067,9203,0.0939
946,NE,RI,OQU,North Kingstown,Quonset State,GA,None,68,127,-0.4646
959,NE,RI,UUU,Newport,Newport State,GA,None,60,72,-0.1667
1625,NE,RI,SFZ,Pawtucket,North Central State,GA,None,1,11,-0.9091
80,SO,SC,CHS,Charleston,Charleston AFB/International,P,S,1283970,1247459,0.0293
88,SO,SC,GSP,Greer,Greenville Spartanburg International,P,S,936288,880994,0.0628
102,SO,SC,MYR,Myrtle Beach,Myrtle Beach International,P,S,722775,848230,-0.1479
118,SO,SC,CAE,Columbia,Columbia Metropolitan,P,S,487435,487474,-0.0001
249,SO,SC,FLO,Florence,Florence Regional,P,N,67745,68169,-0.0062
257,SO,SC,HXD,Hilton Head Island,Hilton Head,P,N,60372,61006,-0.0104
632,SO,SC,SSC,Sumter,Shaw AFB,GA,None,1442,1767,-0.1839
699,SO,SC,ARW,Beaufort,Beaufort County,GA,None,722,162,3.4568
707,SO,SC,NBC,Beaufort,Beaufort MCAS /Merritt Field/,GA,None,683,635,0.0756
766,SO,SC,AND,Anderson,Anderson Regional,GA,None,410,483,-0.1511
