Rank,ST,Locid,City,Airport Name,Service Level,Hub Type,CY 2004 Boardings,CY 2003 Boardings,% Change
1566.0,AK,KPY,Port Bailey,Port Bailey,GA,None,6.0,6.0,0.0
1565.0,AK,KPR,Port Williams,Port Williams,GA,None,6.0,11.0,-0.4545
1543.0,AK,9AK2,Russian Mission,Kako,GA,None,6.0,0.0,0.0
1633.0,AK,SVW,Sparrevohn,Sparrevohn LRRS,GA,None,5.0,0.0,0.0
1642.0,AK,2AK1,Fairbanks /Ft Wainwright/,Blair Lake,GA,None,4.0,0.0,0.0
1689.0,AK,Z81,Salmon Lake,Salmon Lake,GA,None,4.0,0.0,0.0
1699.0,AK,5C5,Craig,El Capitan Lodge,GA,None,3.0,0.0,0.0
1719.0,AK,FLT,Flat,Flat,GA,None,3.0,8.0,-0.625
1737.0,AK,MYK,May Creek,May Creek,GA,None,3.0,33.0,-0.9091
1744.0,AK,OLI,Oliktok Point,Oliktok LRRS,GA,None,3.0,3.0,0.0
1692.0,AK,2K5,Telida,Telida,GA,None,3.0,7.0,-0.5714
1810.0,AK,K29,Council,Council,GA,None,2.0,7.0,-0.7143
1807.0,AK,INR,McKinley Park,McKinley National Park,GA,None,2.0,468.0,-0.9957
1781.0,AK,AK49,Taylor,Taylor,GA,None,2.0,0.0,0.0
1865.0,AK,5Z5,Kantishna,Kantishna,GA,None,1.0,2742.0,-0.9996
1862.0,AK,57A,Tokeen,Tokeen,GA,None,1.0,0.0,0.0
73.0,AL,BHM,Birmingham,Birmingham International,P,S,1498651.0,1376152.0,0.089
110.0,AL,HSV,Huntsville,Huntsville International-Carl T Jones Field,P,S,585058.0,512540.0,0.1415
145.0,AL,MOB,Mobile,Mobile Regional,P,N,308227.0,302035.0,0.0205
171.0,AL,MGM,Montgomery,Montgomery Regional (Dannelly Field),P,N,215553.0,212660.0,0.0136
236.0,AL,DHN,Dothan,Dothan Regional,P,N,69094.0,61143.0,0.13
465.0,AL,MSL,Muscle Shoals,Northwest Alabama Regional,CS,None,5166.0,5928.0,-0.1285
645.0,AL,TCL,Tuscaloosa,Tuscaloosa Regional,GA,None,1309.0,1765.0,-0.2584
787.0,AL,ANB,Anniston,Anniston Metropolitan,GA,None,346.0,708.0,-0.5113
793.0,AL,BFM,Mobile,Mobile Downtown,GA,None,334.0,23.0,13.5217
865.0,AL,MXF,Montgomery,Maxwell AFB,GA,None,194.0,332.0,-0.4157
872.0,AL,MVC,Monroeville,Monroe County,GA,None,178.0,110.0,0.6182
1035.0,AL,4A9,Fort Payne,Isbell Field,GA,None,58.0,3.0,18.3333
1097.0,AL,DCU,Mooresville,Pryor Field Regional,GA,None,41.0,48.0,-0.1458
1102.0,AL,7A2,Demopolis,Demopolis Municipal,GA,None,40.0,11.0,2.6364
1135.0,AL,8A0,Albertville,The Albertville Municipal-Thomas J Brumlik Field,GA,None,31.0,3.0,9.3333
1136.0,AL,ASN,Talladega,Talladega Municipal,GA,None,31.0,45.0,-0.3111
1148.0,AL,EKY,Bessemer,Bessemer,GA,None,30.0,34.0,-0.1176
1161.0,AL,EET,Alabaster,Shelby County,GA,None,28.0,12.0,1.3333
1178.0,AL,JKA,Gulf Shores,Jack Edwards,GA,None,26.0,23.0,0.1304
1379.0,AL,1M4,Haleyville,Posey Field,GA,None,11.0,0.0,0.0
1405.0,AL,AUO,Auburn,Auburn-Opelika Robert G. Pitts,GA,None,10.0,10.0,0.0
1467.0,AL,EUF,Eufaula,Weedon Field,GA,None,8.0,8.0,0.0
1509.0,AL,EDN,Enterprise,Enterprise Municipal,GA,None,7.0,6.0,0.1667
1511.0,AL,GAD,Gadsden,Gadsden Municipal,GA,None,7.0,10.0,-0.3
1581.0,AL,SCD,Sylacauga,Merkel Field Sylacauga Municipal,GA,None,6.0,8.0,-0.25
1594.0,AL,4R4,Fairhope,H. L. (Sonny) Callahan,GA,None,5.0,51.0,-0.902
1630.0,AL,PRN,Greenville,MacCrenshaw Memorial,GA,None,5.0,1.0,4.0
1668.0,AL,M22,Russellville,Russellville Municipal,GA,None,4.0,0.0,0.0
1762.0,AL,12J,Brewton,Brewton Municipal,GA,None,2.0,6.0,-0.6667
1919.0,AL,PLR,Pell City,St Clair County,GA,None,1.0,15.0,-0.9333
84.0,AR,LIT,Little Rock,Adams Field,P,S,1138249.0,1063920.0,0.0699
119.0,AR,XNA,Cave Springs,Northwest Arkansas Regional,P,S,492855.0,427417.0,0.1531
216.0,AR,FSM,Fort Smith,Fort Smith Regional,P,N,90613.0,89510.0,0.0123
301.0,AR,TXK,Texarkana,Texarkana Regional-Webb Field,P,N,32243.0,27802.0,0.1597
499.0,AR,HOT,Hot Springs,Memorial Field,CS,None,3616.0,2606.0,0.3876
500.0,AR,HRO,Harrison,Boone County,CS,None,3614.0,2668.0,0.3546
551.0,AR,JBR,Jonesboro,Jonesboro Municipal,CS,None,2578.0,1865.0,0.3823
573.0,AR,ELD,El Dorado,South Arkansas Regional at Goodwin Field,GA,None,2240.0,1524.0,0.4698
722.0,AR,FYV,Fayetteville,Drake Field,GA,None,736.0,230.0,2.2
772.0,AR,MEZ,Mena,Mena Intermountain Municipal,GA,None,417.0,4.0,103.25
804.0,AR,ASG,Springdale,Springdale Municipal,GA,None,302.0,123.0,1.4553
950.0,AR,LRF,Jacksonville,Little Rock AFB,GA,None,97.0,65.0,0.4923
971.0,AR,ROG,Rogers,Rogers Municipal-Carter Field,GA,None,84.0,16.0,4.25
1217.0,AR,BPK,Mountain Home,Ozark Regional,GA,None,21.0,29.0,-0.2759
1362.0,AR,BVX,Batesville,Batesville Regional,GA,None,12.0,7.0,0.7143
1376.0,AR,VBT,Bentonville,Bentonville Municipal/Louise M Thaden Field,GA,None,12.0,0.0,0.0
1460.0,AR,BYH,Blytheville,Arkansas International,GA,None,8.0,1.0,7.0
1526.0,AR,SGT,Ulm,Stuttgart Municipal,GA,None,7.0,17.0,-0.5882
1575.0,AR,PGR,Paragould,Kirk Field,GA,None,6.0,0.0,0.0
1578.0,AR,RUE,Russellville,Russellville Regional,GA,None,6.0,0.0,0.0
1545.0,AR,AWM,West Memphis,West Memphis Municipal,GA,None,6.0,2.0,2.0
1706.0,AR,ARG,Walnut Ridge,Walnut Ridge Regional,GA,None,3.0,0.0,0.0
234.0,AS,PPG,Pago Pago,Pago Pago International,P,N,70863.0,68202.0,0.039
640.0,AS,FAQ,Fitiuta,Fitiuta,GA,None,1372.0,3208.0,-0.5723
